"measure","stat","p.value","sig"
"PALTEA","10.059","0.01807","*"
"PALFAMS","6.536","0.08826",""
"RTISMDRT","0.927","0.81884",""
"RTISMDMT","7.473","0.05826",""
"RTIFMDRT","5.874","0.11791",""
"RTIFMDMT","3.958","0.26604",""
"OTSPSFC","0.982","0.80565",""
"OTSMDLFC","1.5","0.68227",""
"SWMBE468","7.634","0.05422",""
"SWMBE4","16.333","0.00097","***"
"SWMBE6","6.03","0.11015",""
"SWMBE8","1.636","0.65117",""
"SWMBE12","2.522","0.47131",""
"SWMS","3.703","0.29541",""
"MTSCFAPC","0.706","0.87182",""
"MTSRFAMD","10.8","0.01286","*"
"MTSRCAMD","10.8","0.01286","*"
"MTSPS82","2.1","0.55191",""
