measure,component,est,SE,df,t.value,p,sig
PALTEA,(Intercept),26.25,5.09,12.9,5.159194058,0.00019,***
PALTEA,tp[A7],-8.58,2.3,33,-3.738551216,7.00E-04,***
PALTEA,tp[B30],-5.83,2.3,33,-2.540762963,0.01595,*
PALTEA,tp[B7],-5.83,2.3,33,-2.540762963,0.01595,*
PALFAMS,(Intercept),9,1.35,15.1,6.653243835,1.00E-05,***
PALFAMS,tp[A7],3.08,0.86,33,3.603039923,0.00102,**
PALFAMS,tp[B30],2.5,0.86,33,2.921383722,0.00624,**
PALFAMS,tp[B7],2.75,0.86,33,3.213522094,0.00293,**
RTISMDRT,(Intercept),339.41,21.05,12,16.12140141,0,***
RTISMDRT,tp[A7],-3.68,10.24,30,-0.35939165,0.72182,
RTISMDRT,tp[B30],-11.68,10.24,30,-1.140292024,0.26319,
RTISMDRT,tp[B7],-9.32,10.24,30,-0.909571459,0.3703,
RTISMDMT,(Intercept),305.5,31.99,13.5,9.548833019,0,***
RTISMDMT,tp[A7],39.27,19.71,30,1.99230273,0.05551,
RTISMDMT,tp[B30],33,19.71,30,1.674087711,0.10451,
RTISMDMT,tp[B7],10.14,19.71,30,0.514217024,0.61087,
RTIFMDRT,(Intercept),384.92,18.72,14.7,20.5604078,0,***
RTIFMDRT,tp[A7],-3.37,11.41,33,-0.295793816,0.76924,
RTIFMDRT,tp[B30],-19.17,11.41,33,-1.679816732,0.10244,
RTIFMDRT,tp[B7],-1.33,11.41,33,-0.116856816,0.90768,
RTIFMDMT,(Intercept),357.21,30.49,17.5,11.71608633,0,***
RTIFMDMT,tp[A7],26.75,23.22,33,1.152149845,0.25754,
RTIFMDMT,tp[B30],21.46,23.22,33,0.924232352,0.36207,
RTIFMDMT,tp[B7],4.75,23.22,33,0.204587356,0.83915,
OTSPSFC,(Intercept),9.83,0.81,25.3,12.13561169,0,***
OTSPSFC,tp[A7],-0.67,0.81,33,-0.819607066,0.41832,
OTSPSFC,tp[B30],-0.17,0.81,33,-0.204901767,0.83891,
OTSPSFC,tp[B7],-0.17,0.81,33,-0.204901767,0.83891,
OTSMDLFC,(Intercept),12263.67,1546.61,33.5,7.929363855,0,***
OTSMDLFC,tp[A7],3287.67,1799.82,33,1.82665954,0.07681,
OTSMDLFC,tp[B30],568.17,1799.82,33,0.31567892,0.75423,
OTSMDLFC,tp[B7],594.08,1799.82,33,0.330078472,0.74343,
SWMBE468,(Intercept),17.17,2.43,20.3,7.067726155,0,***
SWMBE468,tp[A7],-5.5,2.1,33,-2.613058125,0.01341,*
SWMBE468,tp[B30],-4,2.1,33,-1.900405909,0.06615,
SWMBE468,tp[B7],-7.25,2.1,33,-3.44448571,0.00158,**
SWMBE4,(Intercept),1.83,0.31,31.6,5.942789703,0,***
SWMBE4,tp[A7],-1.08,0.35,33,-3.110288447,0.00384,**
SWMBE4,tp[B30],-1.5,0.35,33,-4.306553234,0.00014,***
SWMBE4,tp[B7],-1.67,0.35,33,-4.785059149,3.00E-05,***
SWMBE6,(Intercept),5.08,0.86,23.8,5.942068101,0,***
SWMBE6,tp[A7],-2.5,0.83,33,-3.019970382,0.00485,**
SWMBE6,tp[B30],-2,0.83,33,-2.415976305,0.02139,*
SWMBE6,tp[B7],-2.92,0.83,33,-3.523298779,0.00127,**
SWMBE8,(Intercept),10.25,1.67,26.7,6.126202756,0,***
SWMBE8,tp[A7],-1.92,1.73,33,-1.106258268,0.27661,
SWMBE8,tp[B30],-0.5,1.73,33,-0.288589113,0.7747,
SWMBE8,tp[B7],-2.67,1.73,33,-1.539141938,0.1333,
SWMBE12,(Intercept),34.17,3.12,30.2,10.95922325,0,***
SWMBE12,tp[A7],-4,3.44,33,-1.162633239,0.25332,
SWMBE12,tp[B30],-2.75,3.44,33,-0.799310352,0.42983,
SWMBE12,tp[B7],-4.33,3.44,33,-1.259519342,0.21668,
SWMS,(Intercept),8.67,0.87,17.6,9.938624281,0,***
SWMS,tp[A7],-0.92,0.67,33,-1.371110328,0.17959,
SWMS,tp[B30],-1.25,0.67,33,-1.869695901,0.07042,
SWMS,tp[B7],-1.5,0.67,33,-2.243635082,0.03169,*
MTSCFAPC,(Intercept),97.83,0.96,23.5,101.5906029,0,***
MTSCFAPC,tp[A7],0,0.93,33,8.00E-17,1,
MTSCFAPC,tp[B30],0.33,0.93,33,0.36035726,0.72088,
MTSCFAPC,tp[B7],-0.17,0.93,33,-0.18017863,0.85811,
MTSRFAMD,(Intercept),2588.62,174.92,14.4,14.798847,0,***
MTSRFAMD,tp[A7],-52.58,103,33,-0.510526057,0.61308,
MTSRFAMD,tp[B30],-311.75,103,33,-3.026747987,0.00477,**
MTSRFAMD,tp[B7],-307.25,103,33,-2.98305796,0.00533,**
MTSRCAMD,(Intercept),2607.13,175.48,14.2,14.85741271,0,***
MTSRCAMD,tp[A7],-66.83,99.74,33,-0.670091619,0.50746,
MTSRCAMD,tp[B30],-330.25,99.74,33,-3.311188386,0.00226,**
MTSRCAMD,tp[B7],-298.54,99.74,33,-2.993270853,0.0052,**
MTSPS82,(Intercept),2218.34,209.15,35.6,10.60632598,0,***
MTSPS82,tp[A7],-42.87,250.76,33,-0.170949099,0.86531,
MTSPS82,tp[B30],-59.19,250.76,33,-0.236049368,0.81485,
MTSPS82,tp[B7],-68.77,250.76,33,-0.274256824,0.7856,
