"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSCFAPC","A7","age",-0.011,-0.169,-0.083,0.973,0.599,0.723,"","",""
"MTSCFAPC","A7","LED",-0.029,0.139,0.156,0.941,0.722,0.585,"","",""
"MTSCFAPC","A7","severity",0.259,0.061,0.017,0.417,0.85,0.943,"","",""
"MTSCFAPC","A7","fivedasc_util_total",0.041,-0.187,-0.149,0.9,0.56,0.523,"","",""
"MTSCFAPC","A7","fivedasc_sprit_total",0.147,-0.043,-0.05,0.649,0.894,0.831,"","",""
"MTSCFAPC","A7","fivedasc_bliss_total",-0.009,-0.284,-0.216,0.979,0.37,0.356,"","",""
"MTSCFAPC","A7","fivedasc_insight_total",0.049,-0.295,-0.216,0.879,0.352,0.356,"","",""
"MTSCFAPC","A7","fivedasc_dis_total",0.288,0.097,0.083,0.364,0.764,0.723,"","",""
"MTSCFAPC","A7","fivedasc_imp_total",-0.063,0.23,0.183,0.845,0.471,0.435,"","",""
"MTSCFAPC","A7","fivedasc_anx_total",-0.116,0.079,0.083,0.72,0.807,0.723,"","",""
"MTSCFAPC","A7","fivedasc_cimg_total",-0.29,-0.15,-0.1,0.361,0.643,0.669,"","",""
"MTSCFAPC","A7","fivedasc_eimg_total",-0.292,-0.486,-0.349,0.358,0.109,0.136,"","",""
"MTSCFAPC","A7","fivedasc_av_total",-0.22,-0.378,-0.249,0.493,0.226,0.287,"","",""
"MTSCFAPC","A7","fivedasc_per_total",-0.122,-0.288,-0.183,0.705,0.364,0.435,"","",""
"MTSCFAPC","A7","boundlessMean",0.057,-0.166,-0.116,0.859,0.607,0.619,"","",""
"MTSCFAPC","A7","anxiousEgoMean",0.129,0.05,0.083,0.689,0.876,0.723,"","",""
"MTSCFAPC","A7","visionaryMean",-0.313,-0.572,-0.448,0.322,0.052,0.055,"","",""
"MTSCFAPC","B30","age",0.199,0.12,0.085,0.535,0.71,0.719,"","",""
"MTSCFAPC","B30","LED",-0.137,-0.239,-0.194,0.726,0.536,0.502,"","",""
"MTSCFAPC","B30","severity",0.355,0.16,0.152,0.257,0.618,0.517,"","",""
"MTSCFAPC","B30","fivedasc_util_total",0.096,-0.102,-0.118,0.767,0.752,0.614,"","",""
"MTSCFAPC","B30","fivedasc_sprit_total",0.168,0.011,0.017,0.601,0.973,0.943,"","",""
"MTSCFAPC","B30","fivedasc_bliss_total",0.056,-0.139,-0.118,0.864,0.668,0.614,"","",""
"MTSCFAPC","B30","fivedasc_insight_total",0.138,-0.153,-0.186,0.669,0.635,0.428,"","",""
"MTSCFAPC","B30","fivedasc_dis_total",0.264,0.117,0.085,0.408,0.718,0.719,"","",""
"MTSCFAPC","B30","fivedasc_imp_total",-0.265,-0.135,-0.085,0.405,0.676,0.719,"","",""
"MTSCFAPC","B30","fivedasc_anx_total",-0.308,-0.215,-0.186,0.33,0.502,0.428,"","",""
"MTSCFAPC","B30","fivedasc_cimg_total",-0.435,-0.385,-0.307,0.158,0.216,0.194,"","",""
"MTSCFAPC","B30","fivedasc_eimg_total",-0.312,-0.693,-0.558,0.324,0.013,0.018,"","*","*"
"MTSCFAPC","B30","fivedasc_av_total",-0.317,-0.609,-0.457,0.315,0.036,0.052,"","*",""
"MTSCFAPC","B30","fivedasc_per_total",-0.071,-0.153,-0.118,0.827,0.635,0.614,"","",""
"MTSCFAPC","B30","boundlessMean",0.116,-0.077,-0.085,0.72,0.813,0.719,"","",""
"MTSCFAPC","B30","anxiousEgoMean",-0.057,-0.153,-0.118,0.859,0.635,0.614,"","",""
"MTSCFAPC","B30","visionaryMean",-0.376,-0.62,-0.524,0.229,0.032,0.026,"","*","*"
"MTSCFAPC","B7","age",0.172,0.335,0.22,0.593,0.286,0.349,"","",""
"MTSCFAPC","B7","LED",-0.363,-0.159,-0.129,0.337,0.682,0.655,"","",""
"MTSCFAPC","B7","severity",0.635,0.62,0.524,0.027,0.032,0.026,"*","*","*"
"MTSCFAPC","B7","fivedasc_util_total",0.151,0.153,0.152,0.64,0.635,0.517,"","",""
"MTSCFAPC","B7","fivedasc_sprit_total",0.263,0.295,0.22,0.408,0.351,0.349,"","",""
"MTSCFAPC","B7","fivedasc_bliss_total",0.214,0.208,0.152,0.504,0.517,0.517,"","",""
"MTSCFAPC","B7","fivedasc_insight_total",0.135,0.248,0.22,0.676,0.437,0.349,"","",""
"MTSCFAPC","B7","fivedasc_dis_total",0.173,0.077,0.017,0.59,0.813,0.943,"","",""
"MTSCFAPC","B7","fivedasc_imp_total",-0.325,-0.193,-0.152,0.303,0.547,0.517,"","",""
"MTSCFAPC","B7","fivedasc_anx_total",-0.324,-0.266,-0.186,0.305,0.403,0.428,"","",""
"MTSCFAPC","B7","fivedasc_cimg_total",-0.161,-0.011,0,0.618,0.973,1,"","",""
"MTSCFAPC","B7","fivedasc_eimg_total",-0.101,-0.051,-0.017,0.755,0.875,0.943,"","",""
"MTSCFAPC","B7","fivedasc_av_total",-0.007,0.069,0.017,0.982,0.831,0.943,"","",""
"MTSCFAPC","B7","fivedasc_per_total",-0.073,0.182,0.152,0.82,0.571,0.517,"","",""
"MTSCFAPC","B7","boundlessMean",0.197,0.219,0.186,0.539,0.495,0.428,"","",""
"MTSCFAPC","B7","anxiousEgoMean",-0.153,-0.142,-0.118,0.635,0.659,0.614,"","",""
"MTSCFAPC","B7","visionaryMean",-0.111,-0.139,-0.085,0.73,0.668,0.719,"","",""
"MTSCFAPC","bsl","age",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","LED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","severity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_util_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_sprit_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_bliss_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_insight_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_dis_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_imp_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_anx_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_cimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_eimg_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_av_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","fivedasc_per_total",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","boundlessMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","anxiousEgoMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSCFAPC","bsl","visionaryMean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTSPS82","A7","age",0.178,0.007,-0.061,0.58,0.991,0.841,"","",""
"MTSPS82","A7","LED",-0.44,-0.532,-0.435,0.236,0.141,0.112,"","",""
"MTSPS82","A7","severity",0.553,0.448,0.364,0.062,0.147,0.116,"","",""
"MTSPS82","A7","fivedasc_util_total",-0.024,-0.021,-0.061,0.941,0.956,0.841,"","",""
"MTSPS82","A7","fivedasc_sprit_total",0.072,0.105,0.061,0.824,0.749,0.841,"","",""
"MTSPS82","A7","fivedasc_bliss_total",-0.033,0,0,0.919,1,1,"","",""
"MTSPS82","A7","fivedasc_insight_total",0.283,0.196,0.091,0.373,0.543,0.737,"","",""
"MTSPS82","A7","fivedasc_dis_total",0.257,0.273,0.242,0.42,0.391,0.311,"","",""
"MTSPS82","A7","fivedasc_imp_total",-0.246,-0.301,-0.212,0.442,0.342,0.381,"","",""
"MTSPS82","A7","fivedasc_anx_total",-0.222,-0.301,-0.242,0.488,0.342,0.311,"","",""
"MTSPS82","A7","fivedasc_cimg_total",-0.335,-0.308,-0.26,0.287,0.33,0.243,"","",""
"MTSPS82","A7","fivedasc_eimg_total",0.057,-0.021,-0.061,0.86,0.956,0.841,"","",""
"MTSPS82","A7","fivedasc_av_total",-0.305,-0.378,-0.242,0.336,0.227,0.311,"","",""
"MTSPS82","A7","fivedasc_per_total",0.017,0.028,-0.03,0.958,0.939,0.947,"","",""
"MTSPS82","A7","boundlessMean",0.072,0.035,-0.03,0.825,0.921,0.947,"","",""
"MTSPS82","A7","anxiousEgoMean",-0.013,-0.217,-0.212,0.967,0.499,0.381,"","",""
"MTSPS82","A7","visionaryMean",-0.168,-0.196,-0.182,0.601,0.543,0.459,"","",""
"MTSPS82","B30","age",-0.057,-0.175,-0.152,0.86,0.588,0.545,"","",""
"MTSPS82","B30","LED",-0.32,-0.363,-0.261,0.401,0.337,0.34,"","",""
"MTSPS82","B30","severity",0.633,0.552,0.455,0.027,0.067,0.045,"*","","*"
"MTSPS82","B30","fivedasc_util_total",-0.032,-0.154,-0.091,0.921,0.635,0.737,"","",""
"MTSPS82","B30","fivedasc_sprit_total",0.078,-0.014,-0.03,0.809,0.974,0.947,"","",""
"MTSPS82","B30","fivedasc_bliss_total",-0.041,-0.14,-0.091,0.899,0.667,0.737,"","",""
"MTSPS82","B30","fivedasc_insight_total",0.192,0.056,0.061,0.549,0.869,0.841,"","",""
"MTSPS82","B30","fivedasc_dis_total",0.294,0.175,0.152,0.353,0.588,0.545,"","",""
"MTSPS82","B30","fivedasc_imp_total",0.037,0.161,0.121,0.91,0.619,0.638,"","",""
"MTSPS82","B30","fivedasc_anx_total",-0.168,-0.126,-0.03,0.603,0.7,0.947,"","",""
"MTSPS82","B30","fivedasc_cimg_total",-0.283,-0.238,-0.168,0.373,0.456,0.45,"","",""
"MTSPS82","B30","fivedasc_eimg_total",-0.098,-0.021,-0.03,0.763,0.956,0.947,"","",""
"MTSPS82","B30","fivedasc_av_total",-0.267,-0.315,-0.212,0.401,0.319,0.381,"","",""
"MTSPS82","B30","fivedasc_per_total",-0.014,-0.07,0.061,0.966,0.834,0.841,"","",""
"MTSPS82","B30","boundlessMean",0.047,-0.091,-0.061,0.884,0.783,0.841,"","",""
"MTSPS82","B30","anxiousEgoMean",0.147,-0.126,-0.121,0.648,0.7,0.638,"","",""
"MTSPS82","B30","visionaryMean",-0.213,-0.329,-0.212,0.506,0.297,0.381,"","",""
"MTSPS82","B7","age",0.012,-0.133,-0.091,0.972,0.683,0.737,"","",""
"MTSPS82","B7","LED",-0.184,-0.16,-0.087,0.636,0.68,0.75,"","",""
"MTSPS82","B7","severity",-0.104,-0.231,-0.212,0.747,0.471,0.381,"","",""
"MTSPS82","B7","fivedasc_util_total",-0.288,-0.441,-0.333,0.365,0.154,0.153,"","",""
"MTSPS82","B7","fivedasc_sprit_total",-0.102,-0.371,-0.273,0.754,0.237,0.25,"","",""
"MTSPS82","B7","fivedasc_bliss_total",-0.283,-0.364,-0.273,0.373,0.246,0.25,"","",""
"MTSPS82","B7","fivedasc_insight_total",-0.09,-0.308,-0.242,0.781,0.331,0.311,"","",""
"MTSPS82","B7","fivedasc_dis_total",-0.096,-0.21,-0.212,0.767,0.514,0.381,"","",""
