,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,-0.20832691310086804,0.03232540919176179,0.04652421051992354,-0.05504818825631803,0.0,0.1679438245519263,-0.21980291603667945,0.43082021842766455,0.3333333333333333,0.1818181818181818,0.0909090909090909,0.0606060606060606,-0.1212121212121212
age,-0.11217603013123663,0.06465081838352359,0.29465333329284904,0.11009637651263605,0.09231861823449955,0.41222575117291005,0.152171249563855,0.4923659639173309,0.3333333333333333,0.303030303030303,0.0909090909090909,-0.0606060606060606,0.1818181818181818
LED,0.21541010921383227,0.15891043154093207,0.2089785019092862,-0.3256694736394648,0.44781107551989907,0.29424494316824984,-0.25425669046549126,-0.35309393180189985,-0.20309059861498083,-0.14506471329641488,0.20309059861498083,0.3191423692521127,0.14506471329641488
11d_util,-0.3365280903937099,-0.22627786434233255,0.13957263155977062,-0.27524094128159016,-0.06154574548966636,0.32062002869004114,-0.08453958309103056,0.06154574548966636,0.1515151515151515,0.0606060606060606,0.1515151515151515,0.3636363636363636,0.1212121212121212
11d_sprit,-0.36857838471692034,-0.16162704595880895,0.10855649121315493,-0.27524094128159016,-0.12309149097933272,0.32062002869004114,-0.05072374985461833,0.12309149097933272,0.1515151515151515,0.0,0.2121212121212121,0.3636363636363636,0.1818181818181818
11d_bliss,-0.3044777960704994,-0.22627786434233255,0.13957263155977062,-0.1651445647689541,0.0,0.3511552695176641,-0.016907916618206113,0.12309149097933272,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.303030303030303,0.1818181818181818
11d_insight,-0.27242750174728897,-0.25860327353409435,0.04652421051992354,-0.11009637651263605,-0.03077287274483318,0.2595495470347952,-0.11835541632744277,0.1538643637241659,0.303030303030303,0.2121212121212121,0.0,0.2727272727272727,0.0909090909090909
11d_dis,-0.17627661877765757,-0.06465081838352359,-0.20160491225300198,-0.27524094128159016,-0.1846372364689991,0.07633810206905742,0.05072374985461833,0.06154574548966636,0.0909090909090909,-0.0606060606060606,0.2727272727272727,0.303030303030303,0.1818181818181818
11d_imp,0.36857838471692034,0.19395245515057075,-0.20160491225300198,-0.05504818825631803,0.3077287274483318,-0.10687334289668038,-0.18598708280026724,-0.12309149097933272,-0.303030303030303,-0.2121212121212121,0.2424242424242424,-0.0909090909090909,0.0909090909090909
11d_anx,0.20832691310086804,0.09697622757528537,-0.07754035086653924,0.05504818825631803,0.24618298195866545,0.015267620413811482,0.08453958309103056,-0.1538643637241659,-0.2121212121212121,-0.303030303030303,0.3333333333333333,-0.2424242424242424,0.303030303030303
11d_cimg,-0.22607125827950408,0.08143279274805704,0.18752289237539815,0.3328201177351375,0.04651302547095317,0.030769230769230774,0.27259969747839424,-0.23256512735476587,0.04580286124143445,-0.22901430620717222,0.19847906537954926,-0.22901430620717222,0.442760992000533
11d_eimg,-0.11217603013123663,0.03232540919176179,0.10855649121315493,0.27524094128159016,0.3692744729379982,0.1679438245519263,-0.21980291603667945,-0.21541010921383227,0.2727272727272727,-0.1212121212121212,-0.2121212121212121,-0.2424242424242424,-0.1818181818181818
11d_av,-0.2403772074240785,0.03232540919176179,0.2636371929462334,0.11009637651263605,-0.03077287274483318,0.07633810206905742,-0.18598708280026724,-0.338501600193165,-0.0303030303030303,-0.1212121212121212,-0.2727272727272727,-0.0606060606060606,-0.1212121212121212
11d_per,-0.17627661877765757,-0.16162704595880895,-0.015508070173307844,-0.1651445647689541,-0.1538643637241659,0.19847906537954926,-0.05072374985461833,0.1538643637241659,0.1212121212121212,0.1515151515151515,-0.0606060606060606,0.3333333333333333,0.0909090909090909
11d_MEAN,-0.3365280903937099,-0.03232540919176179,0.13957263155977062,-0.11009637651263605,-0.06154574548966636,0.19847906537954926,-0.08453958309103056,-0.06154574548966636,0.0909090909090909,0.0,0.0909090909090909,0.2424242424242424,0.1212121212121212
IFN_gamma_delta_A1,-0.29462782549439476,0.1217161238900369,0.5716619504750294,-0.0890870806374748,0.05716619504750294,0.4225771273642583,0.06085806194501845,0.14085904245475275,-0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.4444444444444444
