,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,-0.10687334289668038,-0.1705887719063863,-0.13957263155977062,0.19968076595771794,0.21885688981825283,0.39393939393939387,0.0,0.0,-0.1818181818181818,0.0303030303030303,0.1515151515151515,-0.0909090909090909,-0.2424242424242424
age,-0.07633810206905742,-0.2636371929462334,0.32566947363946475,0.2396169191492615,-0.09379580992210836,0.3333333333333333,0.3015113445777636,-0.09379580992210836,-0.0606060606060606,-0.0303030303030303,0.0303030303030303,0.0303030303030303,-0.1212121212121212
LED,0.029012942659282972,0.5884898863364997,0.6866436491305119,-0.2731154967995676,-0.03077287274483318,-0.14506471329641488,0.03077287274483318,-0.17654696590094993,-0.029012942659282972,-0.14506471329641488,0.029012942659282972,0.3191423692521127,0.14506471329641488
11d_util,-0.442760992000533,0.04652421051992354,0.015508070173307844,-0.3993615319154359,0.09379580992210836,0.2121212121212121,0.1340050420345616,0.3126526997403612,-0.1818181818181818,-0.39393939393939387,0.1515151515151515,0.0909090909090909,0.3636363636363636
11d_sprit,-0.38169051034528706,0.04652421051992354,0.015508070173307844,-0.3993615319154359,0.09379580992210836,0.2727272727272727,0.167506302543202,0.3439179697143973,-0.1212121212121212,-0.4545454545454545,0.2121212121212121,0.1515151515151515,0.3636363636363636
11d_bliss,-0.442760992000533,0.04652421051992354,0.015508070173307844,-0.2396169191492615,-0.03126526997403612,0.2121212121212121,0.2010075630518424,0.21885688981825283,-0.1212121212121212,-0.39393939393939387,0.1515151515151515,0.0909090909090909,0.303030303030303
11d_insight,-0.32062002869004114,0.015508070173307844,-0.07754035086653924,-0.19968076595771794,0.06253053994807224,0.303030303030303,0.0335012605086404,0.3439179697143973,-0.0909090909090909,-0.303030303030303,0.1212121212121212,0.0,0.2727272727272727
11d_dis,-0.13740858372430334,0.04652421051992354,-0.07754035086653924,-0.3594253787238923,0.09379580992210836,0.2121212121212121,0.1005037815259212,0.1563263498701806,-0.1212121212121212,-0.3333333333333333,0.1515151515151515,0.2727272727272727,0.4848484848484848
11d_imp,0.2595495470347952,0.1705887719063863,-0.10855649121315493,0.15974461276617435,0.03126526997403612,-0.4242424242424242,-0.1340050420345616,-0.56277485953265,-0.0303030303030303,0.3636363636363636,0.1818181818181818,0.0606060606060606,-0.0303030303030303
11d_anx,0.1679438245519263,0.07754035086653924,0.10855649121315493,0.15974461276617435,0.0,-0.3333333333333333,0.0670025210172808,-0.3126526997403612,0.1818181818181818,0.0909090909090909,0.0909090909090909,-0.0303030303030303,0.1818181818181818
11d_cimg,-0.18461538461538463,0.25003052316719754,-0.09376144618769908,0.16096872731710676,0.11026698931685076,-0.0763381020690574,0.4219747362848611,-0.11026698931685076,0.2900847878624182,-0.32062002869004114,-0.10687334289668038,-0.015267620413811482,0.32062002869004114
11d_eimg,-0.1679438245519263,0.07754035086653924,-0.1705887719063863,0.2795530723408051,0.43771377963650565,-0.0303030303030303,-0.0335012605086404,0.12506107989614448,0.0,-0.2121212121212121,-0.2727272727272727,-0.39393939393939387,-0.1212121212121212
11d_av,-0.41222575117291005,0.20160491225300198,-0.10855649121315493,-0.15974461276617435,0.25012215979228897,-0.0303030303030303,0.0335012605086404,0.281387429766325,-0.1212121212121212,-0.2121212121212121,-0.3333333333333333,-0.2727272727272727,0.0606060606060606
11d_per,-0.22901430620717222,0.015508070173307844,-0.07754035086653924,-0.2795530723408051,-0.09379580992210836,0.2424242424242424,0.0670025210172808,0.3126526997403612,-0.1515151515151515,-0.2424242424242424,0.0606060606060606,0.1212121212121212,0.3333333333333333
11d_MEAN,-0.47329623282815597,0.1705887719063863,-0.10855649121315493,-0.2795530723408051,0.1563263498701806,0.1515151515151515,0.1340050420345616,0.25012215979228897,-0.1818181818181818,-0.3333333333333333,0.0303030303030303,0.0909090909090909,0.3636363636363636
IFN_gamma_delta_A1,-0.5555555555555556,0.3098898934004561,0.45732956038002354,-0.2614881801842454,-0.2357022603955158,0.1111111111111111,0.35355339059327373,0.08451542547285167,-0.1111111111111111,-0.16666666666666666,-0.05555555555555555,0.1111111111111111,0.3333333333333333
IFN_gamma_delta_B1,0.0,0.2545875386086578,0.10910894511799618,-0.5640760748177661,-0.46291004988627577,-0.3571428571428571,-0.29649972666444047,0.2545875386086578,-0.07142857142857142,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.14285714285714285
IFN_gamma_delta_B30,-0.05555555555555555,-0.19720265943665385,-0.05716619504750294,-0.5229763603684908,-0.35355339059327373,-0.2777777777777778,-0.5892556509887895,0.3098898934004561,-0.16666666666666666,0.2222222222222222,0.4444444444444444,-0.05555555555555555,0.16666666666666666
IL6_delta_A1,-0.3571428571428571,-0.18184824186332696,0.29649972666444047,-0.08058229640253801,0.0,0.07142857142857142,0.23145502494313788,-0.2545875386086578,0.14285714285714285,0.0,0.6428571428571428,-0.07142857142857142,0.4999999999999999
IL6_delta_B1,0.0,-0.10910894511799618,0.036369648372665396,-0.08058229640253801,0.07715167498104596,-0.07142857142857142,-0.07412493166611012,-0.2545875386086578,0.07142857142857142,0.07142857142857142,0.6428571428571428,0.07142857142857142,0.14285714285714285
IL6_delta_B30,-0.1111111111111111,-0.253546276418555,0.17149858514250882,-0.3268602252303067,-0.17677669529663687,0.0,-0.17677669529663687,0.08451542547285167,0.1111111111111111,0.16666666666666666,0.611111111111111,-0.1111111111111111,0.1111111111111111
IL8_delta_A1,0.0,0.14085904245475275,0.2858309752375147,0.5229763603684908,-0.4714045207910316,-0.2222222222222222,-0.05892556509887895,0.02817180849095055,0.4444444444444444,0.3888888888888889,-0.05555555555555555,-0.2222222222222222,0.1111111111111111
IL8_delta_B1,0.2857142857142857,0.32732683535398854,0.47280542884465016,0.24174688920761409,-0.5400617248673217,-0.3571428571428571,-0.07412493166611012,-0.32732683535398854,0.3571428571428571,0.3571428571428571,0.07142857142857142,0.07142857142857142,0.14285714285714285
IL8_delta_B30,0.4444444444444444,-0.08451542547285167,-0.17149858514250882,0.2614881801842454,-0.35355339059327373,-0.4444444444444444,-0.4124789556921527,-0.3098898934004561,0.1111111111111111,0.7222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111
IL10_delta_A1,-0.16666666666666666,0.14085904245475275,0.5716619504750294,0.19611613513818404,-0.1178511301977579,-0.05555555555555555,0.0,-0.36623351038235713,0.05555555555555555,0.1111111111111111,0.2222222222222222,-0.2777777777777778,0.16666666666666666
IL10_delta_B1,-0.5714285714285714,-0.18184824186332696,-0.036369648372665396,-0.6446583712203041,0.1543033499620919,-0.07142857142857142,-0.29649972666444047,0.18184824186332696,-0.3571428571428571,-0.07142857142857142,0.3571428571428571,-0.21428571428571427,0.42857142857142855
IL10_delta_B30,-0.2222222222222222,-0.36623351038235713,-0.2858309752375147,-0.19611613513818404,-0.17677669529663687,-0.2222222222222222,-0.5892556509887895,0.4789207443461594,0.1111111111111111,0.16666666666666666,0.3888888888888889,-0.5555555555555556,-0.1111111111111111
TNF_alpha_delta_A1,-0.1111111111111111,0.253546276418555,0.34299717028501764,0.19611613513818404,-0.4124789556921527,0.1111111111111111,0.4714045207910316,-0.253546276418555,0.0,0.05555555555555555,-0.16666666666666666,0.2222222222222222,0.2222222222222222
TNF_alpha_delta_B1,-0.42857142857142855,0.6182840223353117,0.40006613209931935,-0.24174688920761409,-0.1543033499620919,-0.21428571428571427,0.4447495899966607,-0.036369648372665396,-0.07142857142857142,-0.21428571428571427,-0.21428571428571427,0.21428571428571427,0.5714285714285714
TNF_alpha_delta_B30,0.16666666666666666,-0.08451542547285167,-0.40016336533252056,-0.19611613513818404,0.0,-0.5,-0.7660323462854265,0.3098898934004561,0.05555555555555555,0.3333333333333333,0.1111111111111111,-0.2777777777777778,-0.05555555555555555
PRL_delta_A7,0.6092717958449424,0.23539595453459985,0.058848988633649964,0.26967994498529685,-0.03077287274483318,0.26111648393354675,0.0,-0.29424494316824984,0.26111648393354675,0.14506471329641488,0.20309059861498083,0.6092717958449424,0.029012942659282972
PRL_delta_B7,0.5188745216627708,0.11322770341445958,0.11322770341445958,0.48953546389837915,0.3530090432487313,0.3706246583305506,0.2139802462554565,-0.1887128390240993,0.22237479499833038,-0.07412493166611012,-0.07412493166611012,0.44474958999666075,-0.22237479499833038
PRL_delta_B30,-0.03779644730092272,0.03849001794597505,0.0,0.4535573676110727,0.03922322702763681,0.3401680257083045,0.565685424949238,-0.0769800358919501,-0.03779644730092272,-0.1889822365046136,-0.11338934190276817,-0.03779644730092272,-0.1889822365046136
