,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,-0.35426686974895366,-0.0723115269478409,0.01791369344714222,-0.00908778022862719,0.06012444420394475,0.21282335332657373,-0.4614958729567297,0.6499887607832322,0.5124058816449258,0.20824648553944183,0.03461450293734686,0.08497632589119401,-0.03451434049026017
age,-0.17756109721250568,-0.17443966126932864,0.34162626886391323,-0.0534285584061535,0.10157245499833682,0.641381125647787,0.24905777813474309,0.5286455287790618,0.5757115175898351,0.32451603657282496,0.25190607352282723,0.10983045036128916,0.23066246101260887
LED,0.36477997898758197,0.021387646692155947,0.3098867158736205,-0.5641991240612391,0.4472970764849249,0.4069465115294856,-0.04269750843780672,-0.46020929376889447,-0.35194715058873477,-0.15314580185425547,0.4577426382673929,0.4657486877629239,0.29278158042369584
11d_util,-0.4472120265367722,-0.3159926845515555,0.19128956945134018,-0.2699892875871046,-0.061184220639938114,0.3275674523535499,-0.1533062092549843,-0.02323669929304642,0.2331197426132694,0.16553204096685303,0.0842416938324657,0.42091569688707503,0.4072122166154893
11d_sprit,-0.45957672203805333,-0.24926554355462616,0.2474771638127279,-0.26292679544199116,-0.04208225322169404,0.42435170817659235,-0.14032146947904128,0.05221505105980352,0.28714650766340033,0.09206749931232432,0.24687341927307616,0.39597724700426684,0.4851830626068484
11d_bliss,-0.498818120756984,-0.2920199294823954,0.20957872744021122,-0.19822082466775492,-0.06171865552460845,0.36350297650873103,-0.11567729482572522,0.07481087573731879,0.3286836796734867,0.18967769134375617,0.05471069549787534,0.35318415822338617,0.4684698754251052
11d_insight,-0.4067429130616857,-0.4342637153550895,0.037820528286318655,-0.25282636111382933,0.1685548086113274,0.3912621109397631,-0.3025199595702134,-0.004954670559733254,0.4186881320337297,0.09267468919766228,0.18747530537598633,0.2690095315787881,0.3971796652071783
11d_dis,-0.3149153493541277,-0.09241292990003315,-0.20359506905654207,-0.34570328032948483,-0.2392165250404889,0.15275348390533133,-0.12549754601294916,0.036998043759168486,0.1484576776079555,0.04539994871561065,0.29882063624742694,0.5060250551164559,0.4054222875644015
11d_imp,0.4310086896985667,0.28235424401268355,-0.20540347971331696,-0.17832035199034219,0.3962146181773423,-0.20952032052524333,-0.11374910580303836,-0.22322959046891686,-0.4272562967896779,-0.38051482411176185,0.400459431678534,-0.11706973770988457,0.1557774020077453
11d_anx,0.20398200197817676,0.2822666073200819,-0.0950562418229276,-0.020784044551012182,0.33404138046395815,0.0317657866575016,0.22861392869699576,-0.21559579750721397,-0.18435040037068673,-0.5719918736478956,0.5010556251935852,-0.37355727263636324,0.4215561867565137
11d_cimg,-0.232988485138116,0.07862617842259123,0.0832721885680043,0.36461425327157493,0.032573576178054675,-0.03224623481433314,0.3395422739528288,-0.297094221569725,0.061652298186104876,-0.24468375133744044,0.19404398629731676,-0.3790561777599266,0.5916972770759686
11d_eimg,-0.260616528318908,-0.09125074973361176,0.027534467466827486,0.17875460908798904,0.44963189774940526,0.07368446347667591,-0.3206140357525824,-0.343102862090802,0.2807978197890383,-0.15367292574731578,-0.4497943072586599,-0.33291697857642594,-0.3251078603351416
11d_av,-0.2521893325361224,0.00497833245474566,0.19972865816811697,0.09192830776552888,0.1181925178572002,-0.02945017033101982,-0.21198402308151018,-0.41579656605260257,-0.035158244262357474,-0.0724814921972586,-0.4832533923790076,-0.04525262938482702,-0.16777483876139707
11d_per,-0.10230557380220084,-0.28019169788631554,-0.25230481363766605,-0.05783749656188566,-0.2628045114155986,-0.03521917932630225,0.009030416914352857,-0.2570643610466039,0.14045350624089595,0.3981707696004166,-0.23599334656401158,0.4180550872779376,0.2326906335831515
11d_MEAN,-0.3997193584431488,-0.2192596977707753,0.06849618628370416,-0.15425170583357933,0.07250417645776586,0.2540870691274799,-0.15837309349612372,-0.18145433822086388,0.24178154764921955,0.01494381253686275,0.06401930700806238,0.22669979760627457,0.4126278356434968
IFN_gamma_delta_A1,-0.31996129581836386,0.15357510348317727,0.5832477370047171,0.002885773892043822,0.09794594950993013,0.4738233242657966,0.29602406529644887,0.013447546002297167,0.14955711166800018,0.05329227261707846,0.04641233024733045,0.09183114347894383,0.6654233148377933
IFN_gamma_delta_B1,0.244566565349443,-0.08805621364840344,-0.14482464660558753,-0.5823949771014361,-0.07985556068892291,-0.162017453815914,0.009119847587575912,-0.34806748047645053,-0.6961821893898117,-0.3434332424796638,0.23192196468155135,0.3886097612006353,0.29076669094302277
IFN_gamma_delta_B30,-0.05893660414820659,-0.23304796516886342,-0.13985255091473597,-0.7676318411620813,-0.06969385058411318,-0.0375770284730603,-0.38895582670293516,0.10036683791177868,-0.42665741518762607,-0.26675564138926744,0.28952943487963556,0.5478235665986573,0.19115270097449683
IL6_delta_A1,-0.17973849260192834,-0.47207247273512243,0.4701692433895055,-0.33825447009507165,0.2922698591901596,0.47715709714153437,0.03997469950890622,0.28450482725389714,0.0672662907820458,-0.06226772285416443,0.7633573672502086,0.11652003663400803,0.3245952444000164
IL6_delta_B1,0.0018570572805647195,-0.4399901226984705,0.1756905225129115,-0.4944310185690666,0.20856297998604045,0.19214974115552183,-0.0578281477412276,0.10466418854580903,-0.25635223522729045,-0.3383608766587649,0.8517222534908723,0.20027857122023543,0.15521090459130407
IL6_delta_B30,0.13996836464909054,-0.5120813212140667,0.10406745442153259,-0.44986409816012424,-0.008811522548115597,0.013692140553822632,-0.12289773455203731,0.15807233269073298,-0.30941859282700784,0.0318272916937912,0.4839968275416876,0.29449287741691527,-0.19278171341407824
IL8_delta_A1,0.5226561386250199,-0.1398424643376233,-0.19333850877997538,0.6520371101136164,0.344244024180952,-0.06459076845919048,0.7033700733096062,-0.5890638108645244,0.2560991005314852,0.3944916787297409,-0.48309176708257784,-0.6673541349473422,0.2854942708497343
IL8_delta_B1,0.693904980902641,0.09643996308189054,-0.22322310606617127,0.504698937611155,0.2722032861063894,-0.16925384284603873,0.79077919061092,-0.8528882515296299,-0.061982987150961004,0.16972034469079317,-0.30885293630523636,-0.552195483642659,0.35820711100916824
IL8_delta_B30,0.5970670717478856,-0.07040964090821997,-0.4956217254614105,0.4814512306323938,0.12205687279472885,-0.417619917734019,0.693756452869329,-0.6061496562554669,-0.09658707543130532,0.15784431679940994,-0.3686690207218821,-0.5963746138164413,0.2284799617270322
IL10_delta_A1,-0.10701047011956902,0.23004379978746137,0.49465030813302097,0.08052016190981767,0.4457944691567975,0.596131408546566,0.11561506845175991,-0.07983306220379993,0.354805163237062,0.09066251875897356,0.13559045764230154,0.01520233957289574,0.4405919058004456
IL10_delta_B1,-0.5898370035960254,-0.31154916059159066,-0.01669302256732655,-0.6022014121709651,0.30517051271958956,0.4068977626483371,-0.5747906052235364,0.29617755788680455,0.24008046576850964,-0.5410342364632379,0.43731189527684633,0.24657346518006593,0.5650390074053911
IL10_delta_B30,-0.1985451569921618,-0.686882478804391,-0.17003490603052712,-0.45567164150875983,0.2407138515940414,0.22143995952277407,-0.6934964958514671,0.368269869236838,0.2959357747579374,0.06856905509723082,0.0609697907449888,0.21809079433505776,-0.09920944906851425
TNF_alpha_delta_A1,-0.14683232878796737,0.29914594798077315,0.5392517100638402,0.2351564983404963,0.2594016153428811,0.49377783787480356,0.25911515187265943,-0.023705387035856663,0.3309857201367688,0.19422974759801642,-0.008857394991722015,-0.03884741676395166,0.3966112439181665
TNF_alpha_delta_B1,-0.1489368621813409,0.4482367618417858,0.42134490682132353,-0.13175644279528304,0.14667460410747862,0.347450737175101,0.31913317381698686,-0.24499193508891792,-0.11064970143187539,-0.22162965416862396,0.2132318589208649,0.14065827017590418,0.7608127582805848
TNF_alpha_delta_B30,0.2935104117680982,-0.2547763401304925,-0.66954897513869,-0.37777104271083495,0.2213333962188186,-0.23131234745717236,-0.5630495412397842,-0.13750851701053746,-0.09304719951749879,-0.18874001845854796,-0.020477481492123112,0.11405267558239443,-0.26960364608917975
PRL_delta_A7,0.6071206680866478,-0.47470522532194215,0.06253049104839153,-0.03747658444979307,0.14913428285787922,0.17005859808106755,0.22354067123729535,-0.5300377698111826,0.04982519813444353,0.6432374782263297,0.3723107470624931,0.677250740441818,-0.1572467910427761
PRL_delta_B7,0.42070159327410955,-0.4460028391844167,0.28036800903223896,0.08782749353588573,0.30185710291983087,0.3621806981660206,0.34222561632012094,-0.4534101839567756,0.20778882089764494,0.5616433559462797,0.3658040479185939,0.46664258110283596,-0.22539336967452278
PRL_delta_B30,-0.32494624495722557,0.46356331216711627,0.33405679231423946,0.5238095238095237,-0.2828750428985086,0.08291849892341734,0.26726124191242445,0.8022750650086377,0.3849379554940865,0.047521418837738694,-0.194378184718069,-0.38118613064992835,0.15563518873759485
