,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,-0.11298514038980201,-0.3571690463955117,-0.2601488612871629,0.09708871747765804,0.3245540589225203,0.4769168313239084,-0.2851026432749687,-0.03357585138769653,-0.2398357185344973,0.2319935381559725,0.11194879101727484,-0.10007083515341719,-0.19777521196554287
age,-0.06991717495727573,-0.3643660965555882,0.5057891575925161,0.09866131936154235,-0.11231163707045769,0.5019135731767582,0.29719245550884754,-0.10074344826813111,0.02171412041046549,-0.2554340896823104,0.2125211193483131,0.07843555668068479,0.0039082536319246935
LED,-0.007485676342254589,0.41176444085576686,0.5356690773956776,-0.45958793989768065,-0.22605755983011863,-0.27700180245228845,-0.04550360566376108,-0.26151326987523227,-0.14410389959616043,-0.013102673533727904,0.29726471875048577,0.21241474330944538,0.13233314771407917
11d_util,-0.5386016451737345,-0.0389140193958695,-0.1335964659516116,-0.41305743450473703,0.08092059306143229,0.26257962776192345,0.1575203826097007,0.36376989515168134,-0.16145824963486838,-0.404014467513388,0.13432637826611954,0.19598324316117702,0.415862349586724
11d_sprit,-0.47490654096363805,0.017920419979791297,-0.06283754307022998,-0.4111281662034612,0.11957567181834967,0.2960346568201692,0.21472560736127663,0.3390003065564521,-0.08018262997809483,-0.5043206012242862,0.18099307192542327,0.22797569560056793,0.39112938332181296
11d_bliss,-0.5720911887662525,-0.09604548786988891,-0.11853671870712656,-0.3365256391060042,0.04328687146904282,0.2735700584312568,0.19619995883809266,0.3536834210597686,-0.15069088367711325,-0.39896977017435675,0.09810900778602741,0.17784357267779952,0.43226765582125526
11d_insight,-0.4061983499692916,-0.18117371066701438,-0.26081243202659976,-0.27271322554898947,0.18109860180361748,0.2289667443315231,-0.09299476389547331,0.3570251345240198,0.02398837675836022,-0.22795255294651529,0.29513433305261694,0.05497465278619613,0.3957784974082103
11d_dis,-0.2003874825764768,0.09458919360407508,-0.2801849330573426,-0.43832808717343785,0.2194815259440197,0.3302358186803642,0.12446726108200298,0.22621424321538128,-0.27096694093934004,-0.43529350169126024,0.14786465060659776,0.388089575706549,0.5176418745761836
11d_imp,0.27146132193444705,0.24194764820843342,-0.23076835856191386,0.04524900682558647,-0.0020631682703899923,-0.41007893195959944,-0.32655198996681073,-0.7595406746098092,-0.04729344776383118,0.5509864174462406,0.2832990408591345,-0.03128168445090956,0.11668155813342962
11d_anx,0.1516628420913767,0.2043911608312751,0.029380363389407957,0.09442033385776724,-0.068349298734059,-0.4452727976624406,0.061718803584018336,-0.4070981252522232,0.2955194318136741,-0.004171577238505725,0.2103913171518349,-0.07531588064510705,0.3098879980441446
11d_cimg,-0.29730762698638546,0.1271500891254358,-0.31777738598668254,0.23659019261902653,0.06417613905195971,-0.09772102443693698,0.45706334020028244,-0.23604064936129496,0.3283555395932167,-0.30246954059647646,-0.005678040583191046,0.1691406719703462,0.561961354937513
11d_eimg,-0.4140244058844693,-0.08313661215566112,-0.20999856537946643,0.2050636246673927,0.5119230848906631,-0.002572783029056877,-0.2592072798922189,0.3625326491624481,-0.09474107309847085,0.09676497621458713,-0.30381789811041493,-0.5593564986204463,-0.0664481312182126
11d_av,-0.5123483025756776,0.20670645457638853,-0.09868178380854592,-0.10198904028433972,0.2473739177414823,-0.11555782197980173,-0.0030217796277584447,0.4594378512985642,-0.19631591311242896,-0.12895208452916396,-0.4144417396845184,-0.26598624572878016,0.003334158198804643
11d_per,-0.1620014177301793,0.07489053100349437,-0.24938547053863228,-0.1976186289087342,-0.09733422389661892,0.12429202829050712,0.0998302306153113,0.3830422521475542,-0.1387180512571509,-0.20903196518590147,-0.12107947541060468,0.3933138788018153,0.46775909244707925
