,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,-0.28778100027198306,0.003559282361566794,0.0597547848517906,-0.06477502756312957,0.010526380587337557,0.28021058733533855,-0.29225121459743025,0.6842147381769412,0.4685314685314686,0.2937062937062937,0.08391608391608392,0.1188811188811189,-0.1188811188811189
age,-0.20251255574695104,0.03915210597723474,0.36555868379918954,0.12955005512625914,0.11929897998982567,0.4728553661283838,0.21918841094807265,0.6596531834731536,0.5174825174825175,0.44055944055944063,0.027972027972027972,-0.07692307692307693,0.2027972027972028
LED,0.2758723200596649,0.16597843248097038,0.3404286141254435,-0.3668996928526714,0.4978768481584611,0.35170754502513735,-0.26207120918047955,-0.5381549182914752,-0.2869428206737055,-0.1687898945139444,0.35445877847928325,0.4472932204619527,0.14347141033685276
11d_util,-0.4370007781907891,-0.25982761239437596,0.23198916471871645,-0.3238751378156479,-0.08421104469870046,0.3747816605610153,-0.09498164474416482,0.0736846641113629,0.23076923076923078,0.07692307692307693,0.18881118881118883,0.4755244755244756,0.2517482517482518
11d_sprit,-0.4512121856116278,-0.20643837697087405,0.22144420268604753,-0.3238751378156479,-0.15087812175183832,0.3922948222694739,-0.058450242919486035,0.175439676455626,0.27272727272727276,0.04195804195804196,0.2867132867132868,0.4825174825174825,0.2797202797202798
11d_bliss,-0.4085779633491118,-0.28474258892534354,0.2671390381609462,-0.19432508268938875,-0.04912310940757527,0.4098079839779326,-0.03653140182467878,0.14035174116450078,0.3916083916083916,0.2377622377622378,0.14685314685314685,0.41958041958041964,0.31468531468531474
11d_insight,-0.3659437410865957,-0.2883018712869103,0.1195095697035812,-0.12955005512625914,-0.087719838227813,0.325744807777331,-0.11690048583897207,0.15087812175183832,0.4685314685314686,0.2377622377622378,0.013986013986013986,0.35664335664335667,0.15384615384615385
11d_dis,-0.20606540760216072,-0.1352527297395382,-0.24253412675138533,-0.3238751378156479,-0.2842122758581141,0.1015763379090602,0.03653140182467878,0.08421104469870046,0.15384615384615385,-0.07692307692307693,0.3706293706293707,0.49650349650349657,0.2447552447552448
11d_imp,0.49384640787414374,0.29186115364847715,-0.28471397488206107,-0.06477502756312957,0.4000024623188272,-0.20665530815981217,-0.23380097167794414,-0.21754519880497622,-0.4055944055944056,-0.30069930069930073,0.35664335664335667,-0.1188811188811189,0.1328671328671329
11d_anx,0.28778100027198306,0.19931981224774045,-0.15114445580158797,0.06477502756312957,0.4245640170226148,0.02802105873353385,0.10228792510910056,-0.25263313409610144,-0.1328671328671329,-0.46153846153846156,0.4545454545454546,-0.34965034965034975,0.44755244755244755
11d_cimg,-0.24913556294220293,0.13905532869818138,0.14612766643597114,0.38933141071383015,0.08611612596358496,-0.015789473684210527,0.3366780101169619,-0.3374346160205777,0.11558686727582713,-0.28021058733533855,0.24868689626011292,-0.34325796948578974,0.5359027482788349
11d_eimg,-0.18119544461569304,0.02847425889253435,0.14411448111314204,0.3238751378156479,0.5017574746630903,0.17162898474289487,-0.31417005569223744,-0.3754409076150396,0.3356643356643357,-0.16083916083916086,-0.3216783216783217,-0.4055944055944056,-0.27272727272727276
11d_av,-0.40147225963869243,0.121015600293271,0.29525893691473,0.12955005512625914,0.087719838227813,0.03152369107522559,-0.25571981277275146,-0.364914527027702,-0.04895104895104895,-0.18181818181818185,-0.37762237762237766,-0.06993006993006995,-0.14685314685314685
11d_per,-0.27712244470635405,-0.1886419651630401,-0.007029974688445953,-0.19432508268938875,-0.22807157939231376,0.1891421464513535,-0.08767536437922906,0.15438691528095086,0.2867132867132868,0.2447552447552448,-0.04895104895104895,0.4825174825174825,0.1958041958041958
11d_MEAN,-0.4405536300459988,-0.07118564723133589,0.15114445580158797,-0.12955005512625914,-0.05964948999491283,0.1786342494262783,-0.12420676620390785,-0.10175501234426305,0.1328671328671329,-0.034965034965034975,0.06293706293706294,0.3076923076923077,0.1958041958041958
IFN_gamma_delta_A1,-0.3915780041490244,0.12076147288491197,0.6386780131801736,-0.10350983390135313,0.050421948408961074,0.5523060897787772,0.10350983390135313,0.108787563138244,-0.03333333333333333,0.11666666666666665,0.09999999999999999,0.31666666666666665,0.6333333333333333
IFN_gamma_delta_B1,0.26837252006084666,-0.050062617432175896,-0.19278507708475198,-0.5039526306789697,-0.27545404024004955,-0.21557272714438658,-0.15958430024557682,-0.3952166664313755,-0.7380952380952381,-0.4047619047619048,0.07142857142857144,0.38095238095238104,0.04761904761904763
IFN_gamma_delta_B30,-0.034050261230349946,-0.36228441865473593,-0.2857243743174461,-0.7245688373094719,-0.1176512129542425,0.07531446678801507,-0.5520524474738833,0.217575126276488,-0.35,-0.16666666666666669,0.15,0.43333333333333335,0.03333333333333333
IL6_delta_A1,-0.3068928850876477,-0.49102861614023635,0.38557015416950396,-0.37796447300922725,0.22754898976351917,0.4910267673844362,0.28234145428063595,0.13173888881045848,-0.09523809523809526,-0.14285714285714288,0.7857142857142858,0.0,0.7142857142857144
IL6_delta_B1,0.07319250547113999,-0.5006261743217589,-0.036147201953390995,-0.5039526306789697,0.11976262619132588,0.08383383833392813,0.061378577017529544,-0.08383383833392813,-0.3333333333333334,-0.3571428571428572,0.7619047619047621,0.09523809523809526,0.28571428571428575
