,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.3631182576158283,0.8884566414361874,0.83586603352803,0.8298963832086543,1.0,0.4496025895128464,0.3485626921896159,0.05371548370555843,0.15259045898802842,0.459023957331249,0.7373055246579552,0.8405883696421891,0.6383612539081289
age,0.6243475376606251,0.7790826112028287,0.1894640033901701,0.6674364917098825,0.6793255216523519,0.06347819641136146,0.516366837780742,0.027474239016943514,0.15259045898802842,0.19694994338223504,0.7373055246579552,0.8405883696421891,0.459023957331249
LED,0.44680656307980327,0.5812242534523996,0.45339868774956504,0.2993869058036013,0.10813542131986381,0.28665008587056506,0.3774763415147676,0.20103828676524294,0.45808823471581006,0.5961126657233238,0.45808823471581006,0.24361538832991814,0.5961126657233238
11d_util,0.14180720337918323,0.3261975886223403,0.5342361662349244,0.28274545993277467,0.7828636615476965,0.1489018745176366,0.7184500089813044,0.7828636615476965,0.5452047007776174,0.8405883696421891,0.5452047007776174,0.11595087782587783,0.6383612539081289
11d_sprit,0.10761457395892061,0.4831240040225385,0.628790651290229,0.28274545993277467,0.5815114852079422,0.1489018745176366,0.8287393681120191,0.5815114852079422,0.5452047007776174,1.0,0.38070480349126185,0.11595087782587783,0.459023957331249
11d_bliss,0.1837883967789632,0.3261975886223403,0.5342361662349244,0.5192490622486565,1.0,0.11390323413538203,0.9425173773924771,0.5815114852079422,0.24957952123750735,0.459023957331249,0.7373055246579552,0.19694994338223504,0.459023957331249
11d_insight,0.23433467782507078,0.2618373560235985,0.83586603352803,0.6674364917098825,0.8904027809514472,0.24261168044983128,0.6137389827886733,0.49084037311371653,0.19694994338223504,0.38070480349126185,1.0,0.24957952123750735,0.7373055246579552
11d_dis,0.44158134995613085,0.7790826112028287,0.36929322539727294,0.28274545993277467,0.40836892116002044,0.7310931976144446,0.8287393681120191,0.7828636615476965,0.7373055246579552,0.8405883696421891,0.24957952123750735,0.19694994338223504,0.459023957331249
11d_imp,0.10761457395892061,0.4000431074642573,0.36929322539727294,0.8298963832086543,0.168220073327342,0.6304167324095717,0.42767971310258646,0.5815114852079422,0.19694994338223504,0.38070480349126185,0.3108100139957779,0.7373055246579552,0.7373055246579552
11d_anx,0.3631182576158283,0.6739214890570431,0.7298636285922802,0.8298963832086543,0.2703067111039217,0.9452010837327357,0.7184500089813044,0.49084037311371653,0.38070480349126185,0.19694994338223504,0.15259045898802842,0.3108100139957779,0.19694994338223504
11d_cimg,0.3263237273196429,0.7252855625505781,0.40618290058866935,0.1966113838119633,0.835877724639172,0.8904066970721064,0.24763390488525316,0.30027400626917133,0.8366323297132776,0.3025337411745721,0.37156462722472605,0.3025337411745721,0.04622906055239071
11d_eimg,0.6243475376606251,0.8884566414361874,0.628790651290229,0.28274545993277467,0.09822207705620688,0.4496025895128464,0.3485626921896159,0.3347642675428819,0.24957952123750735,0.6383612539081289,0.38070480349126185,0.3108100139957779,0.459023957331249
11d_av,0.29401563605030434,0.8884566414361874,0.24037756168702495,0.6674364917098825,0.8904027809514472,0.7310931976144446,0.42767971310258646,0.12958505832424844,0.9465592891547753,0.6383612539081289,0.24957952123750735,0.8405883696421891,0.6383612539081289
11d_per,0.44158134995613085,0.4831240040225385,0.944940755265874,0.5192490622486565,0.49084037311371653,0.37156462722472605,0.8287393681120191,0.49084037311371653,0.6383612539081289,0.5452047007776174,0.8405883696421891,0.15259045898802842,0.7373055246579552
11d_MEAN,0.14180720337918323,0.8884566414361874,0.5342361662349244,0.6674364917098825,0.7828636615476965,0.37156462722472605,0.7184500089813044,0.7828636615476965,0.7373055246579552,1.0,0.7373055246579552,0.3108100139957779,0.6383612539081289
IFN_gamma_delta_A1,0.28459024884718576,0.663769938131786,0.03501498101966249,0.7696979437812898,0.8330288937195214,0.11585149752593009,0.8279300870715519,0.6001794871405538,0.761414241622575,0.919455467372134,0.761414241622575,0.612202380952381,0.11943893298059964
IFN_gamma_delta_B1,0.5243108008991832,1.0,0.8015726314717444,0.18242243945173575,0.5330356744917513,0.5330356744917513,0.6075648328123765,0.5330356744917513,0.03115079365079365,0.39875992063492066,0.9048611111111111,0.5484126984126985,1.0
IFN_gamma_delta_B30,1.0,0.27713169075620714,0.3990751965482372,0.04042397933690852,0.6732899796599957,0.7531523647659145,0.12813454481695888,0.463071015014588,0.35848765432098767,0.761414241622575,0.919455467372134,0.25951829805996474,0.919455467372134
IL6_delta_A1,0.44110482535611073,0.1991834291115624,0.31477678305963597,0.31731050786291415,0.5330356744917513,0.17023995462900499,0.6075648328123765,0.7083840532183997,1.0,0.7195436507936508,0.03115079365079365,1.0,0.06101190476190476
IL6_delta_B1,0.8986690010530557,0.18916127259520799,0.8015726314717444,0.18242243945173575,0.7083840532183997,0.7083840532183997,1.0,0.9007802600472398,0.5484126984126985,0.39875992063492066,0.03115079365079365,0.9048611111111111,0.39875992063492066
IL6_delta_B30,0.8305369877385385,0.05043999694516219,0.3990751965482372,0.07898257926378298,1.0,0.463071015014588,1.0,0.916511907863894,0.761414241622575,0.919455467372134,0.11943893298059964,0.612202380952381,0.761414241622575
