,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.6304167324095717,0.44744871354095406,0.5342361662349244,0.41002334174868116,0.3316850680568625,0.0863171145983646,1.0,1.0,0.459023957331249,0.9465592891547753,0.5452047007776174,0.7373055246579552,0.3108100139957779
age,0.7310931976144446,0.24037756168702495,0.1469779020657125,0.32284759675344865,0.6773916019262776,0.15259045898802842,0.1962447266045112,0.6773916019262776,0.8405883696421891,0.9465592891547753,0.9465592891547753,0.9465592891547753,0.6383612539081289
LED,0.9155825203905921,0.03308927343176563,0.013758778624520539,0.34965322379585806,0.9134574688540434,0.5961126657233238,0.9134574688540434,0.5226280993345622,0.9155825203905921,0.5961126657233238,0.9155825203905921,0.24361538832991814,0.5961126657233238
11d_util,0.04622906055239071,0.83586603352803,0.944940755265874,0.0994131991156691,0.6773916019262776,0.38070480349126185,0.5657197991441898,0.16551785869746993,0.459023957331249,0.0863171145983646,0.5452047007776174,0.7373055246579552,0.11595087782587783
11d_sprit,0.08573124655875586,0.83586603352803,0.944940755265874,0.0994131991156691,0.6773916019262776,0.24957952123750735,0.47278308612015796,0.12715299260001428,0.6383612539081289,0.04473689858238469,0.38070480349126185,0.5452047007776174,0.11595087782587783
11d_bliss,0.04622906055239071,0.83586603352803,0.944940755265874,0.32284759675344865,0.8897069355331012,0.38070480349126185,0.38893531091236555,0.3316850680568625,0.6383612539081289,0.0863171145983646,0.5452047007776174,0.7373055246579552,0.19694994338223504
11d_insight,0.1489018745176366,0.944940755265874,0.7298636285922802,0.41002334174868116,0.7815112949987133,0.19694994338223504,0.8858229490911618,0.12715299260001428,0.7373055246579552,0.19694994338223504,0.6383612539081289,1.0,0.24957952123750735
11d_dis,0.5361739338988774,0.83586603352803,0.7298636285922802,0.13809178802232047,0.6773916019262776,0.38070480349126185,0.666632055322476,0.4880740931652481,0.6383612539081289,0.15259045898802842,0.5452047007776174,0.24957952123750735,0.031050242838437284
11d_imp,0.24261168044983128,0.44744871354095406,0.628790651290229,0.509843085670352,0.8897069355331012,0.06286914699241088,0.5657197991441898,0.012554918596966533,0.9465592891547753,0.11595087782587783,0.459023957331249,0.8405883696421891,0.9465592891547753
11d_anx,0.4496025895128464,0.7298636285922802,0.628790651290229,0.509843085670352,1.0,0.15259045898802842,0.7739720006501322,0.16551785869746993,0.459023957331249,0.7373055246579552,0.7373055246579552,0.9465592891547753,0.459023957331249
11d_cimg,0.40838577526881603,0.2680751546812591,0.6779114635810531,0.5090140905235531,0.6266393407158204,0.7310931976144446,0.07206736200902841,0.6266393407158204,0.19156872709346595,0.1489018745176366,0.6304167324095717,0.9452010837327357,0.1489018745176366
11d_eimg,0.4496025895128464,0.7298636285922802,0.44744871354095406,0.24874887686356062,0.05220363534131463,0.9465592891547753,0.8858229490911618,0.5790997419539188,1.0,0.38070480349126185,0.24957952123750735,0.0863171145983646,0.6383612539081289
11d_av,0.06347819641136146,0.36929322539727294,0.628790651290229,0.509843085670352,0.26725749315438785,0.9465592891547753,0.8858229490911618,0.2120034309228258,0.6383612539081289,0.38070480349126185,0.15259045898802842,0.24957952123750735,0.8405883696421891
11d_per,0.3025337411745721,0.944940755265874,0.7298636285922802,0.24874887686356062,0.6773916019262776,0.3108100139957779,0.7739720006501322,0.16551785869746993,0.5452047007776174,0.3108100139957779,0.8405883696421891,0.6383612539081289,0.15259045898802842
