,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.25854488497714767,0.8232807135334533,0.9559343768893933,0.9776380033677032,0.8527483534646471,0.5066230742293494,0.13098827606510494,0.022132823668294,0.08851157565488396,0.5160183092564237,0.9149518110666837,0.7928789473936813,0.9151971287547429
age,0.5808886791497299,0.5876618452976274,0.27710955284307803,0.8690148219093492,0.7534432510883817,0.024581831433984094,0.4350290100667018,0.0772193916360296,0.050133341776775815,0.3034168264828466,0.42961993539406573,0.7340143814703326,0.4707431143000059
LED,0.3344241170992327,0.9564460493065627,0.4170653974896312,0.11355175952937359,0.22735547792096045,0.2770294079915394,0.9131493884250501,0.2125737331621658,0.35296393879709437,0.6940474319549681,0.21535536854143053,0.20639975441230496,0.4445305544116117
11d_util,0.14492918692452,0.3170226079101346,0.5514725057378524,0.3960587967381465,0.8501784789882276,0.29862653087349755,0.6342984571688155,0.9428570836045604,0.46589541847019655,0.6071565645776974,0.7946356156390144,0.17300858785567264,0.18890197469417433
11d_sprit,0.13280843143828985,0.434633339091501,0.4380448636297854,0.40900425471300556,0.8966823478739592,0.16915971212158573,0.6635843923164731,0.8719679958968087,0.36549539669788417,0.7759688801264212,0.43919948400548303,0.2025839024935851,0.10985216147146082
11d_bliss,0.09877779432730271,0.35704682615210903,0.5132757188117492,0.5368596737473804,0.8488830224252806,0.24545117827967292,0.7203436923529241,0.8172620406326574,0.2968848756513641,0.5548941017576547,0.8658963007626961,0.2601058882630593,0.12451104347400907
11d_insight,0.18946171633858927,0.15836081615619674,0.9071033250097085,0.42787931079184527,0.6005139090694193,0.20850159875708107,0.3392000678364535,0.9878072645123739,0.17553292515215263,0.7745249734176053,0.5595832323964529,0.397842122724986,0.20109144917562694
11d_dis,0.31876587752854246,0.77514736083542,0.5256435999004323,0.27104067267911075,0.45396930687201453,0.6355356703869321,0.6975526633191896,0.9091161008877504,0.6451803196583652,0.8885800420695877,0.34543194354644813,0.09323823969645847,0.1910423377083058
11d_imp,0.16185741564297126,0.37390441216786646,0.5218922655972331,0.5792458426958017,0.20228873982560883,0.5133958229944354,0.7248439587083901,0.48554757426270334,0.16594852460621456,0.22237882081059498,0.19705490296628192,0.7170988716108705,0.6287775094187036
11d_anx,0.5248399798420995,0.3740591176861954,0.7688679710803723,0.9488812136928044,0.28860495855009477,0.9219314652935666,0.4748022290023268,0.5009689661154578,0.5662640705422343,0.05198561926757325,0.09703495757253097,0.2316511719455397,0.17228700898023405
11d_cimg,0.466153770610221,0.8080919682150487,0.7969552577428565,0.24390263522370087,0.9199517625326491,0.9207539497954575,0.2802414736576168,0.34836109004647453,0.8490438523289612,0.44339936776665523,0.545645879525649,0.22430397077326267,0.04269877803211468
11d_eimg,0.4132842988264285,0.7779121496476866,0.9323078464029784,0.5783070448305151,0.14250312631700973,0.8199734476229743,0.309604476977436,0.2749026453750639,0.37665692365021786,0.6334780773806118,0.14234124490420502,0.29033167861823483,0.30248441222826405
11d_av,0.4290838136533751,0.9877490398126956,0.5337026438586745,0.7762999716527208,0.714485568344166,0.927608717390537,0.5083403382505757,0.17884395045371518,0.9136202001496441,0.8228711400991887,0.11148310631775564,0.8889396155575815,0.6022252792047945
11d_per,0.7517129231223515,0.37773167401735297,0.4288653374759819,0.8582984726586547,0.4092302427813631,0.9134709841236905,0.9777791245635408,0.41990833167735014,0.6632843267687065,0.19986635917376294,0.46025614606045334,0.17625449358615128,0.4667402753051764
11d_MEAN,0.19796135435215872,0.4935402569003674,0.8324852042657778,0.6321840619371711,0.822816479813008,0.42550043212512134,0.6229971552409799,0.5724841921839701,0.44899548549113355,0.9632351593723275,0.8433102558666001,0.47860956352450706,0.18251682342291775
IFN_gamma_delta_A1,0.4012584237826592,0.693223385607322,0.09924747174793444,0.9941211904991313,0.8020544464510818,0.1975808389673469,0.43926464928897685,0.9726090122683181,0.7009467222988274,0.8916904912791688,0.9056191389785399,0.8142328230262466,0.050452103075839826
IFN_gamma_delta_B1,0.5593948473866065,0.835746087573014,0.7322268685451896,0.12980740483334935,0.8509061456728064,0.7014915380399716,0.9829012338902603,0.398168572926421,0.0551051941148648,0.4049044524781573,0.5804879134681844,0.34139178214784993,0.48476174997318283
IFN_gamma_delta_B30,0.8802823324441132,0.5462042881290834,0.7196976032351489,0.015730459596207794,0.8585942861983319,0.923538726437457,0.3008455790719539,0.7972429897816389,0.25211021713139165,0.4877715522211552,0.44983968152166953,0.12678602376604747,0.6222502174426598
IL6_delta_A1,0.6701782537923735,0.237575493273663,0.2397357324511247,0.4124895208168396,0.4824019937729632,0.2318531751107123,0.9251272484351398,0.4946402868413854,0.8742556426074842,0.8835494545303528,0.027528156809917624,0.7834943557550833,0.43278268173990525
IL6_delta_B1,0.9965180256043858,0.27530768489441204,0.6772963315507047,0.21294834304068766,0.6201366529466011,0.6484890848333509,0.8918137089771829,0.8051831283674713,0.5399826021901186,0.41233306424055155,0.007270703471525448,0.6343986848285961,0.7136196460329202
IL6_delta_B30,0.7194730464519393,0.15872263587437668,0.7898995566501205,0.22437338456458317,0.9820504750805116,0.9721109576999697,0.7527646443264471,0.6846077909396777,0.41780662166611876,0.9352166816659935,0.18677557360156302,0.4417479206614157,0.6192289615126465
IL8_delta_A1,0.14883549371057336,0.7197171614597638,0.6181974253390248,0.05702730020122952,0.364325946084257,0.8688733760428378,0.03450902850149739,0.09511110045784021,0.50595919443993,0.2934094345208792,0.18772299169407586,0.04954571254803612,0.45646508486208703
IL8_delta_B1,0.05624607941167867,0.8202931357783348,0.5951524431912252,0.20210642122364497,0.5142694404615205,0.688657697937365,0.019453372636409644,0.007107076135305494,0.8840792208402982,0.687832537759768,0.45667377199304976,0.1558498029089157,0.38360307700108354
IL8_delta_B30,0.08959416171729845,0.8571539138107935,0.17484733067154185,0.18944720318900968,0.7544141144593409,0.26338190870919514,0.03818305431762606,0.08357668931358826,0.8047577097464621,0.685043866253831,0.328902630449066,0.09006352646457068,0.5543202659050482
