,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.7268423066400914,0.31843389498930486,0.829546299949171,0.8185260052849521,0.3808659217561226,0.7915035349291304,0.261382710326551,0.8034459029672911,0.0072287607806422105,0.6354897997771533,0.9559065538401348,0.32976123928155265,0.6343030516632846
age,0.47327630208732807,0.19964521625553866,0.12930292112346395,0.8119852257604504,0.708631359425957,0.8535846757753759,0.43748595428303844,0.4279316334831488,0.9261635108038937,0.7178524372564634,0.25743307312480984,0.7308994890139378,0.457052777618904
LED,0.7291025355033108,0.1734463140923537,0.26761596313750646,0.2967884652208056,0.2555310219119255,0.3337056251010249,0.9545210330093034,0.7407473626802875,0.21818561550552484,0.12335075438942551,0.9598475269317303,0.5773745705143178,0.4411090767894307
11d_util,0.17955152391057794,0.9671616211641856,0.5819058480082044,0.23241199449180053,0.4715570852026212,0.09956870063302023,0.9218113325948885,0.10724861632302107,0.8674024452134472,0.28939232581056473,0.6218895469622976,0.6680202449076293,0.650727038445181
11d_sprit,0.3611025129698922,0.9322890187201731,0.3187332317435907,0.24346795549675893,0.28805833880725035,0.04258436618349319,0.8462629567644475,0.04943485320181634,0.594046421697909,0.26846903608081757,0.9629997968994112,0.6289252694129412,0.43524728424703985
11d_bliss,0.1357000236434731,0.9169386144764118,0.49608252078058346,0.3345957760642039,0.491372478551382,0.13713957709778893,0.7931820957709842,0.15305133729877118,0.6757956321390445,0.34198577948909537,0.5550935587305521,0.8518484934429982,0.5015073103018005
11d_insight,0.3556598468161877,0.6781742752776203,0.9631308882876033,0.26948839423798454,0.33955414778230936,0.12866397514572897,0.5615958300187418,0.16297691293341124,0.31480758171453616,0.10684842638293085,0.8761673156273244,0.7347739548628709,0.7405503206655295
11d_dis,0.485775301335727,0.8003344134545062,0.7610663384613883,0.12156291889838355,0.3701883873308155,0.37394289526581803,0.9174577451810298,0.03855198489094601,0.4890338713563674,0.3966739287829862,0.29918732228713074,0.3186516958889021,0.7241989027073594
11d_imp,0.20847997910188468,0.21477370803143603,0.5235412506501423,0.9390940296638869,0.05496898154330164,0.7827079823872414,0.7136612321373179,0.1319028652035162,0.9251089143703309,0.8909312852386759,0.8685368944291549,0.7923009801115033,0.4947480468775645
11d_anx,0.3598911796855451,0.34123912208280677,0.9416769041954456,0.705259432092119,0.27228259800882937,0.7700613365333601,0.5216278045700419,0.4528200802463419,0.8703276467675475,0.674264074314926,0.24925230319779967,0.8912187614295011,0.0803308301689957
11d_cimg,0.8935605515262905,0.2580384587025403,0.8627109173959655,0.20587532071758266,0.23277547286164416,0.37124493985401785,0.06837311850350737,0.9696303437292333,0.7751113743253695,0.8611078156940557,0.8018072336189925,0.7877530305207746,0.06160890111579124
11d_eimg,0.2741384121040258,0.8620109356347041,0.2165039689012124,0.7929704764647991,0.5926919070020793,0.7132211320900144,0.5944495720464306,0.6485270053045044,0.3938444787330729,0.37611138094603125,0.6374198914008422,0.21380606238200534,0.13006634138253872
