,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.3643895497786369,0.9912409765156234,0.8536450588238449,0.8414811337938278,0.9740990620508823,0.3776981560766677,0.3566484613598889,0.014121331349722018,0.124454791188834,0.35414764123292175,0.7954145018538977,0.712884219214772,0.712884219214772
age,0.5278946745749806,0.9038457694604445,0.24259113137878038,0.6882128190799857,0.711912996765272,0.12054731608984573,0.4936843189639708,0.019600372359515842,0.08486877113393493,0.15173503571673022,0.9312343512018808,0.8121826980280591,0.5273023541661082
LED,0.47243090379620634,0.6695381379792691,0.3700175336615163,0.33140900181789984,0.17258511548223698,0.3533147365674022,0.4957330107678882,0.13501076453095576,0.4540818685916487,0.6642034648602809,0.3492969259778034,0.22735997360386503,0.7126896628339858
11d_util,0.1554580805640657,0.4147509440053514,0.46812290808050794,0.3044283654838391,0.7947089236078821,0.23000298000625266,0.7690450092405148,0.819972964509617,0.470531995381542,0.8121826980280591,0.5567370561768314,0.11817595701303213,0.42991878503288405
11d_sprit,0.14093301003591918,0.5197507165228195,0.4891348310867094,0.3044283654838391,0.6397398196020827,0.2071966088271391,0.856810830678767,0.5854885829639287,0.3910967709418962,0.8969858708195542,0.36625146058358227,0.11210929146889191,0.37856866966230307
11d_bliss,0.1872788695810161,0.36970108096762055,0.40125800804306966,0.5450527029269673,0.8794992069651514,0.18582449084404484,0.9102582812284182,0.6635155931484618,0.2080634636953532,0.4568008526399232,0.6487957097846664,0.1745190081300594,0.31913878550330455
11d_insight,0.24205761114949828,0.3634830473605588,0.7114236780033644,0.6882128190799857,0.7863264698390713,0.3014826974614558,0.7174930526234546,0.6397398196020827,0.124454791188834,0.4568008526399232,0.9655902689187795,0.25513775175895725,0.6330906812462618
11d_dis,0.5205220755680031,0.6751375130753599,0.44754111560245036,0.3044283654838391,0.37063225777171693,0.7534340837808129,0.9102582812284182,0.7947089236078821,0.6330906812462618,0.8121826980280591,0.2356210035126457,0.10060263183225483,0.4432619364501832
11d_imp,0.1027250919692741,0.3573204374373701,0.369751293157933,0.8414811337938278,0.19761430310651432,0.5193022970166132,0.4645556400734584,0.49701028756286414,0.19083587400450033,0.34225952894002465,0.25513775175895725,0.712884219214772,0.6805975082860818
11d_anx,0.3643895497786369,0.5345578860001883,0.639142160879024,0.8414811337938278,0.16892367755725207,0.9311140674192737,0.7517545657794757,0.4282444922929949,0.6805975082860818,0.13094806950717278,0.13765791634772945,0.2652387868927897,0.14458630130334754
11d_cimg,0.43488085528002707,0.6664641105754017,0.6504326828685396,0.21095472294288045,0.7901551838859111,0.9611560056311392,0.2845788155503756,0.28342940377782694,0.7205545635404205,0.3776981560766677,0.43573575611890625,0.27467140968540055,0.07250748303033829
11d_eimg,0.573041564845929,0.9300023256880593,0.6549826461455311,0.3044283654838391,0.09649255198179227,0.5937868060168403,0.3199749390319151,0.22911845341491388,0.2861229029149875,0.6175234895401425,0.30790987618065263,0.19083587400450033,0.3910967709418962
11d_av,0.19581852054386314,0.7079272414616193,0.351489439996432,0.6882128190799857,0.7863264698390713,0.9225248645215405,0.42242921997465355,0.2434852010203052,0.8799185788786749,0.5717012385276553,0.22620604493502663,0.8290236405313092,0.6487957097846664
11d_per,0.38319825795532225,0.5570972684616313,0.9827008116033018,0.5450527029269673,0.4758795761579323,0.5560328502017109,0.7864325888630955,0.6318819018346753,0.36625146058358227,0.4432619364501832,0.8799185788786749,0.11210929146889191,0.5419358857313175
11d_MEAN,0.1517410677140795,0.825994817969491,0.639142160879024,0.6882128190799857,0.8539005081597717,0.5785671838739677,0.7005357097612506,0.7530122763296343,0.6805975082860818,0.9140933424107598,0.8459309212287789,0.3305892594121097,0.5419358857313175
IFN_gamma_delta_A1,0.2973114149618483,0.7569569058886717,0.06410620825872809,0.7910051864396366,0.897498625749166,0.12307662993423862,0.7910051864396366,0.7805538526280621,0.932156735540504,0.7650079429261462,0.797971695234851,0.4063970144863861,0.06708578689234565
IFN_gamma_delta_B1,0.5204409776823383,0.9062893121654423,0.6473844523388661,0.2028844491499782,0.5090540726550732,0.6081490663684048,0.7058208200215368,0.33251710793382766,0.03655276105286081,0.3198886412288162,0.8665262706759088,0.35181255311756476,0.9108491685195836
IFN_gamma_delta_B30,0.9307003633575079,0.33799111136740834,0.4560861494086982,0.02723868225026316,0.7630703618815533,0.8472940220818164,0.12328477541150128,0.5738746583219767,0.35581957250178897,0.668231040071504,0.7000942309691419,0.2439524358800516,0.932156735540504
IL6_delta_A1,0.4596851913195994,0.21660620777244885,0.34551105853655584,0.355917683749582,0.5878445645010817,0.21660820414021398,0.49807110466292026,0.7558326362593347,0.8225054302036114,0.735764859879812,0.020815127253525276,1.0,0.04652823228416724
IL6_delta_B1,0.863253392920131,0.20637138322918355,0.9322830115259056,0.2028844491499782,0.7775830437712571,0.8435464923328297,0.885203883089007,0.8435464923328297,0.4197530864197531,0.38512064355625636,0.028004939153071794,0.8225054302036114,0.4927262450169573
IL6_delta_B30,0.74338358954755,0.06430829363590891,0.6182981334382576,0.07425299207352293,0.948667820369289,0.5588463751684138,0.9648639649440185,0.813794310413029,0.5755148957119259,0.8646897846262037,0.12497678418833198,0.5164895523012263,0.4879222748387009
IL8_delta_A1,0.3326297774630901,0.24643288412546188,0.8130181506544423,0.26791985683122427,0.1211700359343757,0.731278765094574,0.9297801936074063,0.7150322450059001,0.11163298761149111,0.04244227208707231,0.20538635110581185,0.3807131816768634,0.6368198117628943
IL8_delta_B1,0.029884378812178862,0.46975554272939835,0.9322830115259056,1.0,0.05006339467042144,0.691465351646736,0.7721322159692601,0.1463315326055506,0.9553740118158807,0.4197530864197531,0.9553740118158807,0.9108491685195836,0.530922861565801
IL8_delta_B30,0.014236112891150775,0.7569569058886717,0.04356620084169892,0.7910051864396366,0.5571400528860271,0.10980400020918213,0.8253621604328443,0.4443546956852248,0.5456987782182727,0.6059012741795533,0.46003032896571994,0.668231040071504,0.831214097710308
IL10_delta_A1,0.74338358954755,0.3891827286308378,0.27080524598002204,0.7910051864396366,0.0031439309803344886,0.05252286046708899,0.4721736954222774,0.8305146353314997,0.2861051019083129,0.3807131816768634,0.5164895523012263,0.8646897846262037,0.2439524358800516
IL10_delta_B1,0.17018920126883436,0.6344472334953445,0.9774101852887366,0.030019745287544374,0.7775830437712571,0.12619898553608927,0.06617004538137725,0.33251710793382766,0.8225054302036114,0.2894032248467901,0.20703124999999997,0.260404767436885,0.4197530864197531
