,UPDRS_1,UPDRS_2,UPDRS_3,UPDRS_4,HAMA,MADRS,ESAPS,CCFQ,Z_MTS,Z_OTS,Z_PAL,Z_RTI,Z_SWM
severity,0.6168988561548572,0.32214887236601175,0.4820838681410552,0.5960815376780105,0.35573797712475586,0.07536233505348364,0.7440938837279023,0.9306265420534359,0.3305892594121097,0.9140933424107598,0.5273023541661082,0.6175234895401425,0.34225952894002465
age,0.7451766219125175,0.40771687923232025,0.15296944548210153,0.2534897145732461,0.5834615738573032,0.14458630130334754,0.21086401719859524,0.7186435556494375,0.7787253962454419,0.9655902689187795,0.9140933424107598,0.9312343512018808,0.5419358857313175
LED,0.9828082229567339,0.01782841485151557,0.005646777242463675,0.34047376904502047,0.964883546000118,0.6324565019842245,0.9473416279393706,0.7115265251823937,0.96562256772341,0.7620834303611179,0.9828082229567339,0.42671436663749296,0.5858071253332076
11d_util,0.05805354965814069,0.8707272686249733,0.8878603475218254,0.10508541044512353,0.7186435556494375,0.22620604493502663,0.5950603376318868,0.23595446333379674,0.5128409431818263,0.07089431754922315,0.5717012385276553,0.6805975082860818,0.09515736659412469
11d_sprit,0.11138981647538282,0.8536450588238449,0.794353386395524,0.09843575658405279,0.694110591576689,0.16669998762494495,0.5176842511395809,0.19933159571386835,0.6175234895401425,0.026096891052703127,0.48445166145539886,0.5868236643627043,0.14458630130334754
11d_bliss,0.07705239037267651,0.9136406985725221,0.8707272686249733,0.3166959481268751,0.8788618284640329,0.15173503571673022,0.4450392060104894,0.3377888149480437,0.6805975082860818,0.11817595701303213,0.5868236643627043,0.6966831093957659,0.10060263183225483
11d_insight,0.15458641247553,0.9481297823757879,0.794353386395524,0.44991438837245057,0.7268769636980736,0.1591057694121953,0.7440938837279023,0.1703354943374117,0.729194990751066,0.13765791634772945,0.712884219214772,0.9140933424107598,0.22620604493502663
11d_dis,0.6246756664067579,0.9654084616187225,0.7114236780033644,0.13868948454431798,0.6779021664809417,0.30790987618065263,0.6353204607757414,0.4664987183399554,0.5868236643627043,0.06661188226688902,0.49855598552418856,0.22620604493502663,0.05858947538856762
11d_imp,0.26947938846303315,0.45435313444656167,0.6951474227207506,0.5779933880571057,0.8788618284640329,0.08991373630263913,0.4663010417792838,0.003973509427891268,0.9655902689187795,0.044609296463363105,0.6330906812462618,0.9827917689028476,0.9655902689187795
11d_anx,0.48366596570100795,0.5471657965713578,0.5546143690639191,0.5250880845853433,0.9306265420534359,0.11817595701303213,0.6599279407718672,0.1337682082254741,0.35414764123292175,0.8290236405313092,0.6805975082860818,0.9484022252365223,0.5128409431818263
11d_cimg,0.4282474320009263,0.37507449860602315,0.8066526598990823,0.613753516457869,0.602063105466955,0.8202845257024424,0.06797087634137756,0.5675509901294452,0.2905884894424695,0.15458641247553007,0.6800638459197366,0.9397100223231515,0.1776753737252057
11d_eimg,0.34729146092788776,0.6870529121826295,0.5848161910150171,0.27161067955547563,0.0454534544667907,1.0,0.857349330191058,0.4804873174250536,0.9827917689028476,0.5128409431818263,0.2356210035126457,0.06251148327961512,0.5419358857313175
11d_av,0.03815947554942023,0.26767972534387174,0.662952609698434,0.5079321116042226,0.28160746026863587,0.8628980736949712,0.9731361757522646,0.231172606981478,0.5717012385276553,0.2969041156887641,0.16669998762494495,0.31913878550330455,0.8121826980280591
11d_per,0.18998452241526717,0.8536450588238449,0.8451251084846487,0.20872819632272333,0.8020814339857414,0.3305892594121097,0.7872266334584246,0.22178379979504784,0.48445166145539886,0.2652387868927897,0.8628980736949712,0.5273023541661082,0.08486877113393493
