"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSCFAPC","A7","age",0.141,-0.204,-0.162,0.662,0.526,0.502,"","",""
"MTSCFAPC","A7","LED",0.215,0.283,0.235,0.579,0.461,0.426,"","",""
"MTSCFAPC","A7","severity",-0.147,-0.377,-0.269,0.649,0.227,0.263,"","",""
"MTSCFAPC","A7","fivedasc_util_total",-0.448,-0.535,-0.377,0.144,0.073,0.117,"","",""
"MTSCFAPC","A7","fivedasc_sprit_total",-0.364,-0.486,-0.341,0.245,0.109,0.156,"","",""
"MTSCFAPC","A7","fivedasc_bliss_total",-0.498,-0.588,-0.413,0.099,0.044,0.086,"","*",""
"MTSCFAPC","A7","fivedasc_insight_total",-0.407,-0.682,-0.485,0.189,0.014,0.044,"","*","*"
"MTSCFAPC","A7","fivedasc_dis_total",-0.371,-0.354,-0.269,0.235,0.258,0.263,"","",""
"MTSCFAPC","A7","fivedasc_imp_total",0.421,0.524,0.413,0.173,0.08,0.086,"","",""
"MTSCFAPC","A7","fivedasc_anx_total",0.305,0.392,0.305,0.336,0.207,0.205,"","",""
"MTSCFAPC","A7","fivedasc_cimg_total",-0.006,0.009,0,0.985,0.977,1,"","",""
"MTSCFAPC","A7","fivedasc_eimg_total",-0.404,-0.43,-0.341,0.193,0.163,0.156,"","",""
"MTSCFAPC","A7","fivedasc_av_total",-0.502,-0.452,-0.413,0.097,0.14,0.086,"","",""
"MTSCFAPC","A7","fivedasc_per_total",-0.585,-0.682,-0.521,0.046,0.014,0.03,"*","*","*"
"MTSCFAPC","A7","boundlessMean",-0.442,-0.535,-0.377,0.151,0.073,0.117,"","",""
"MTSCFAPC","A7","anxiousEgoMean",0.037,0.008,-0.018,0.909,0.981,0.941,"","",""
"MTSCFAPC","A7","visionaryMean",-0.549,-0.611,-0.485,0.064,0.035,0.044,"","*","*"
"MTSCFAPC","B30","age",0.353,0.108,0.061,0.26,0.737,0.804,"","",""
"MTSCFAPC","B30","LED",0.044,0.005,0,0.911,0.99,1,"","",""
"MTSCFAPC","B30","severity",0.02,-0.2,-0.142,0.95,0.533,0.563,"","",""
"MTSCFAPC","B30","fivedasc_util_total",-0.301,-0.138,-0.101,0.342,0.67,0.679,"","",""
"MTSCFAPC","B30","fivedasc_sprit_total",-0.257,-0.096,-0.061,0.421,0.767,0.804,"","",""
"MTSCFAPC","B30","fivedasc_bliss_total",-0.337,-0.171,-0.142,0.284,0.595,0.563,"","",""
"MTSCFAPC","B30","fivedasc_insight_total",-0.228,-0.263,-0.223,0.476,0.409,0.363,"","",""
"MTSCFAPC","B30","fivedasc_dis_total",-0.297,-0.05,-0.061,0.348,0.877,0.804,"","",""
"MTSCFAPC","B30","fivedasc_imp_total",0.108,-0.163,-0.101,0.737,0.613,0.679,"","",""
"MTSCFAPC","B30","fivedasc_anx_total",0.018,-0.125,-0.101,0.957,0.698,0.679,"","",""
"MTSCFAPC","B30","fivedasc_cimg_total",-0.205,-0.303,-0.245,0.522,0.339,0.32,"","",""
"MTSCFAPC","B30","fivedasc_eimg_total",-0.39,-0.663,-0.546,0.21,0.019,0.026,"","*","*"
"MTSCFAPC","B30","fivedasc_av_total",-0.55,-0.555,-0.425,0.064,0.061,0.083,"","",""
"MTSCFAPC","B30","fivedasc_per_total",-0.437,-0.25,-0.223,0.156,0.433,0.363,"","",""
"MTSCFAPC","B30","boundlessMean",-0.289,-0.138,-0.101,0.362,0.67,0.679,"","",""
"MTSCFAPC","B30","anxiousEgoMean",-0.166,-0.158,-0.142,0.606,0.623,0.563,"","",""
"MTSCFAPC","B30","visionaryMean",-0.56,-0.513,-0.465,0.058,0.088,0.057,"","",""
"MTSCFAPC","B7","age",0.351,0.461,0.376,0.263,0.131,0.112,"","",""
