"measure","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MADRS","TNF_alpha",-0.327,-0.375,-0.295,0.39,0.321,0.285,"","",""
"MADRS","IFN_gamma",0.105,-0.17,-0.177,0.788,0.661,0.521,"","",""
"MADRS","IL10",0.139,-0.017,-0.059,0.722,0.965,0.831,"","",""
"MADRS","IL8",-0.74,-0.851,-0.766,0.023,0.004,0.005,"*","**","**"
"MADRS","IL6",0.215,0.23,0.177,0.579,0.552,0.521,"","",""
"HAMA","TNF_alpha",-0.07,-0.05,0,0.858,0.897,1,"","",""
"HAMA","IFN_gamma",0.263,0.134,-0.057,0.495,0.73,0.833,"","",""
"HAMA","IL10",0.032,0.042,0.057,0.934,0.915,0.833,"","",""
"HAMA","IL8",-0.543,-0.311,-0.286,0.131,0.415,0.292,"","",""
"HAMA","IL6",0.126,0.311,0.229,0.746,0.415,0.399,"","",""
"ESAPS","TNF_alpha",-0.826,-0.834,-0.707,0.006,0.005,0.01,"**","**","*"
"ESAPS","IFN_gamma",-0.483,-0.758,-0.648,0.187,0.018,0.019,"","*","*"
"ESAPS","IL10",-0.833,-0.758,-0.648,0.005,0.018,0.019,"**","*","*"
"ESAPS","IL8",0.357,-0.281,-0.354,0.346,0.464,0.199,"","",""
"ESAPS","IL6",-0.347,-0.315,-0.236,0.36,0.409,0.392,"","",""
"UPDRS_1","TNF_alpha",0.125,0.134,0.028,0.749,0.731,0.917,"","",""
"UPDRS_1","IFN_gamma",-0.354,-0.393,-0.197,0.35,0.295,0.463,"","",""
"UPDRS_1","IL10",-0.282,-0.318,-0.254,0.463,0.404,0.345,"","",""
"UPDRS_1","IL8",0.181,0.377,0.254,0.642,0.318,0.345,"","",""
"UPDRS_1","IL6",0.195,-0.033,-0.028,0.614,0.932,0.917,"","",""
"UPDRS_2","TNF_alpha",-0.299,-0.218,-0.141,0.435,0.574,0.6,"","",""
"UPDRS_2","IFN_gamma",-0.225,-0.343,-0.31,0.56,0.366,0.249,"","",""
"UPDRS_2","IL10",-0.635,-0.711,-0.479,0.066,0.032,0.075,"","*",""
"UPDRS_2","IL8",0.103,-0.067,-0.085,0.793,0.864,0.753,"","",""
"UPDRS_2","IL6",-0.519,-0.485,-0.366,0.153,0.185,0.173,"","",""
"UPDRS_3","TNF_alpha",-0.578,-0.485,-0.366,0.103,0.185,0.173,"","",""
"UPDRS_3","IFN_gamma",0.013,-0.025,-0.028,0.973,0.949,0.917,"","",""
"UPDRS_3","IL10",-0.23,-0.184,-0.141,0.551,0.635,0.6,"","",""
"UPDRS_3","IL8",-0.603,-0.686,-0.535,0.085,0.041,0.046,"","*","*"
"UPDRS_3","IL6",-0.083,0.159,0.141,0.832,0.683,0.6,"","",""
"UPDRS_4","TNF_alpha",-0.473,-0.515,-0.4,0.199,0.156,0.168,"","",""
"UPDRS_4","IFN_gamma",-0.792,-0.822,-0.691,0.011,0.007,0.017,"*","**","*"
"UPDRS_4","IL10",-0.552,-0.505,-0.4,0.123,0.166,0.168,"","",""
"UPDRS_4","IL8",0.62,0.168,0.109,0.075,0.665,0.707,"","",""
"UPDRS_4","IL6",-0.259,-0.366,-0.255,0.5,0.332,0.38,"","",""
