"measure","tp","stat","p.value","sig"
"MTSCFAPC","A7","-3","0.696",""
"MTSCFAPC","B7","-4","0.584",""
"MTSCFAPC","B30","-1","0.938",""
"MTSPS82","A7","-9","0.181",""
"MTSPS82","B7","-4","0.584",""
"MTSPS82","B30","-3","0.696",""
"MTSRCAMD","A7","-6","0.389",""
"MTSRCAMD","B7","-16","0.013","*"
"MTSRCAMD","B30","-18","0.005","**"
"MTSRFAMD","A7","-6","0.389",""
"MTSRFAMD","B7","-16","0.013","*"
"MTSRFAMD","B30","-18","0.005","**"
"OTSMDLFC","A7","4","0.584",""
"OTSMDLFC","B7","3","0.696",""
"OTSMDLFC","B30","-3","0.696",""
"OTSPSFC","A7","-3","0.696",""
"OTSPSFC","B7","-3","0.696",""
"OTSPSFC","B30","-6","0.389",""
"PALFAMS","A7","15","0.02","*"
"PALFAMS","B7","11","0.097",""
"PALFAMS","B30","10","0.134",""
"PALTEA","A7","-19.5","0.001","***"
"PALTEA","B7","-13.5","0.031","*"
"PALTEA","B30","-11","0.097",""
"RTIFMDMT","A7","6","0.389",""
"RTIFMDMT","B7","-6.5","0.308",""
"RTIFMDMT","B30","0.5","0.938",""
"RTIFMDRT","A7","-13","0.047","*"
"RTIFMDRT","B7","-2.5","0.696",""
"RTIFMDRT","B30","-10.5","0.097",""
"RTISMDMT","A7","9","0.162",""
"RTISMDMT","B7","-7","0.287",""
"RTISMDMT","B30","4","0.568",""
"RTISMDRT","A7","-5","0.462",""
"RTISMDRT","B7","-4","0.568",""
"RTISMDRT","B30","-5","0.462",""
"SWMBE12","A7","-6","0.389",""
"SWMBE12","B7","-6.5","0.308",""
"SWMBE12","B30","-9.5","0.134",""
"SWMBE4","A7","-10.5","0.097",""
"SWMBE4","B7","-17.5","0.005","**"
"SWMBE4","B30","-14","0.031","*"
"SWMBE468","A7","-9.5","0.134",""
"SWMBE468","B7","-16.5","0.008","**"
"SWMBE468","B30","-6","0.389",""
"SWMBE6","A7","-10","0.134",""
"SWMBE6","B7","-13.5","0.031","*"
"SWMBE6","B30","-6.5","0.308",""
"SWMBE8","A7","-4","0.584",""
"SWMBE8","B7","-4","0.584",""
"SWMBE8","B30","2","0.815",""
"SWMS","A7","-3","0.696",""
"SWMS","B7","-9.5","0.134",""
"SWMS","B30","-9.5","0.134",""
"Z_MTS","A7","-2","0.815",""
"Z_MTS","B7","-8","0.239",""
"Z_MTS","B30","-10","0.134",""
"Z_OTS","A7","5","0.481",""
"Z_OTS","B7","0","1",""
"Z_OTS","B30","3","0.696",""
"Z_PAL","A7","-18.5","0.003","**"
"Z_PAL","B7","-17.5","0.005","**"
"Z_PAL","B30","-12","0.068",""
"Z_RTI","A7","6","0.389",""
"Z_RTI","B7","-4","0.584",""
"Z_RTI","B30","-2","0.815",""
"Z_SWM","A7","-11","0.097",""
"Z_SWM","B7","-23","<0.001","***"
"Z_SWM","B30","-14","0.031","*"
"CCFQ","A7","6","0.389",""
"CCFQ","B7","4","0.584",""
"CCFQ","B30","8","0.239",""
"CSSRS","A7","-12","0.068",""
"CSSRS","B7","-12.5","0.047","*"
"CSSRS","B30","-9.5","0.134",""
"ESAPS","A7","-14","0.031","*"
"ESAPS","B7","-10","0.134",""
"ESAPS","B30","-10","0.134",""
"HAMA","A7","-2.5","0.696",""
"HAMA","B7","-13.5","0.031","*"
"HAMA","B30","-10","0.134",""
"MADRS","A7","-8","0.239",""
"MADRS","B7","-17","0.008","**"
"MADRS","B30","-11","0.097",""
"PLR","A7","9.5","0.047","*"
"PLR","B7","15.5","<0.001","***"
"PLR","B30","11","0.027","*"
"UPDRS_1","A7","-16.5","0.008","**"
"UPDRS_1","B7","-28","<0.001","***"
"UPDRS_1","B30","-27.5","<0.001","***"
"UPDRS_2","A7","-15.5","0.013","*"
"UPDRS_2","B7","-25.5","<0.001","***"
"UPDRS_2","B30","-31","<0.001","***"
"UPDRS_3","A7","-8","0.239",""
"UPDRS_3","B7","-12.5","0.047","*"
"UPDRS_3","B30","-15.5","0.013","*"
"UPDRS_4","A7","-2.5","0.696",""
"UPDRS_4","B7","-6","0.389",""
"UPDRS_4","B30","-5.5","0.389",""
"UPDRS_SUM","A7","-15.5","0.013","*"
"UPDRS_SUM","B7","-23.5","<0.001","***"
"UPDRS_SUM","B30","-29","<0.001","***"
"NPIQ_DIS","A7","-13.5","0.031","*"
"NPIQ_DIS","B7","-20.5","0.001","***"
"NPIQ_DIS","B30","-14","0.031","*"
"NPIQ_SEV","A7","-18","0.005","**"
"NPIQ_SEV","B7","-23.5","<0.001","***"
"NPIQ_SEV","B30","-20.5","0.001","***"
