"measure","tp","stat","p.value","sig"
"PALTEA","A7","4.36","0.01102","*"
"PALTEA","B7","3.019","0.14218",""
"PALTEA","B30","2.46","0.30327",""
"PALFAMS","A7","3.354","0.08257",""
"PALFAMS","B7","2.46","0.30327",""
"PALFAMS","B30","2.236","0.3894",""
"RTISMDRT","A7","1.168","0.84231",""
"RTISMDRT","B7","0.934","0.91184",""
"RTISMDRT","B30","1.168","0.84231",""
"RTISMDMT","A7","2.102","0.44577",""
"RTISMDMT","B7","1.635","0.65466",""
"RTISMDMT","B30","0.934","0.91184",""
"RTIFMDRT","A7","2.907","0.16794",""
"RTIFMDRT","B7","0.559","0.97907",""
"RTIFMDRT","B30","2.348","0.34497",""
"RTIFMDMT","A7","1.342","0.77848",""
"RTIFMDMT","B7","1.453","0.73316",""
"RTIFMDMT","B30","0.112","0.99982",""
"OTSPSFC","A7","0.671","0.96474",""
"OTSPSFC","B7","0.671","0.96474",""
"OTSPSFC","B30","1.342","0.77848",""
"OTSMDLFC","A7","0.894","0.9216",""
"OTSMDLFC","B7","0.671","0.96474",""
"OTSMDLFC","B30","0.671","0.96474",""
"SWMBE468","A7","2.124","0.43619",""
"SWMBE468","B7","3.69","0.04494","*"
"SWMBE468","B30","1.342","0.77848",""
"SWMBE4","A7","2.348","0.34497",""
"SWMBE4","B7","3.913","0.02892","*"
"SWMBE4","B30","3.13","0.1195",""
"SWMBE6","A7","2.236","0.3894",""
"SWMBE6","B7","3.019","0.14218",""
"SWMBE6","B30","1.453","0.73316",""
"SWMBE8","A7","0.894","0.9216",""
"SWMBE8","B7","0.894","0.9216",""
"SWMBE8","B30","0.447","0.98906",""
"SWMBE12","A7","1.342","0.77848",""
"SWMBE12","B7","1.453","0.73316",""
"SWMBE12","B30","2.124","0.43619",""
"SWMS","A7","0.671","0.96474",""
"SWMS","B7","2.124","0.43619",""
"SWMS","B30","2.124","0.43619",""
"MTSCFAPC","A7","0.671","0.96474",""
"MTSCFAPC","B7","0.894","0.9216",""
"MTSCFAPC","B30","0.224","0.99859",""
"MTSRFAMD","A7","1.342","0.77848",""
"MTSRFAMD","B7","3.578","0.05544",""
"MTSRFAMD","B30","4.025","0.02296","*"
"MTSRCAMD","A7","1.342","0.77848",""
"MTSRCAMD","B7","3.578","0.05544",""
"MTSRCAMD","B30","4.025","0.02296","*"
"MTSPS82","A7","2.012","0.48485",""
"MTSPS82","B7","0.894","0.9216",""
"MTSPS82","B30","0.671","0.96474",""
