"measure","tp","est","SE","hedges.g","df","t.value","p.value","sig","adj.p.value","adj.sig"
"MTSCFAPC","(Intercept)",97.83,0.96,"",23.5,101.59,"<0.001","***","<0.001","***"
"MTSCFAPC","tp(A7)",0,0.93,"",33,0,"1.000","","1.000",""
"MTSCFAPC","tp(B7)",-0.17,0.93,"",33,-0.18,"0.858","","1.000",""
"MTSCFAPC","tp(B30)",0.33,0.93,"",33,0.36,"0.721","","1.000",""
"MTSPS82","(Intercept)",2218.34,209.15,"",35.6,10.61,"<0.001","***","<0.001","***"
"MTSPS82","tp(A7)",-42.87,250.76,"",33,-0.17,"0.865","","1.000",""
"MTSPS82","tp(B7)",-68.77,250.76,"",33,-0.27,"0.786","","1.000",""
"MTSPS82","tp(B30)",-59.19,250.76,"",33,-0.24,"0.815","","1.000",""
"MTSRCAMD","(Intercept)",2607.13,175.48,"",14.2,14.86,"<0.001","***","<0.001","***"
"MTSRCAMD","tp(A7)",-66.83,99.74,"",33,-0.67,"0.507","","1.000",""
"MTSRCAMD","tp(B7)",-298.54,99.74,"",33,-2.99,"0.005","**","0.026","*"
"MTSRCAMD","tp(B30)",-330.25,99.74,"",33,-3.31,"0.002","**","0.011","*"
"MTSRFAMD","(Intercept)",2588.62,174.92,"",14.4,14.8,"<0.001","***","<0.001","***"
"MTSRFAMD","tp(A7)",-52.58,103,"",33,-0.51,"0.613","","1.000",""
"MTSRFAMD","tp(B7)",-307.25,103,"",33,-2.98,"0.005","**","0.027","*"
"MTSRFAMD","tp(B30)",-311.75,103,"",33,-3.03,"0.005","**","0.024","*"
"OTSMDLFC","(Intercept)",12263.67,1546.61,"",33.5,7.93,"<0.001","***","<0.001","***"
"OTSMDLFC","tp(A7)",3287.67,1799.82,"",33,1.83,"0.077","","0.230",""
"OTSMDLFC","tp(B7)",594.08,1799.82,"",33,0.33,"0.743","","1.000",""
"OTSMDLFC","tp(B30)",568.17,1799.82,"",33,0.32,"0.754","","1.000",""
"OTSPSFC","(Intercept)",9.83,0.81,"",25.3,12.14,"<0.001","***","<0.001","***"
"OTSPSFC","tp(A7)",-0.67,0.81,"",33,-0.82,"0.418","","1.000",""
"OTSPSFC","tp(B7)",-0.17,0.81,"",33,-0.2,"0.839","","1.000",""
"OTSPSFC","tp(B30)",-0.17,0.81,"",33,-0.2,"0.839","","1.000",""
"PALFAMS","(Intercept)",9,1.35,"",15.1,6.65,"<0.001","***","<0.001","***"
"PALFAMS","tp(A7)",3.08,0.86,"",33,3.6,"0.001","**","0.003","**"
"PALFAMS","tp(B7)",2.75,0.86,"",33,3.21,"0.003","**","0.009","**"
"PALFAMS","tp(B30)",2.5,0.86,"",33,2.92,"0.006","**","0.019","*"
"PALTEA","(Intercept)",26.25,5.09,"",12.9,5.16,"<0.001","***","<0.001","***"
"PALTEA","tp(A7)",-8.58,2.3,"",33,-3.74,"<0.001","***","0.002","**"
"PALTEA","tp(B7)",-5.83,2.3,"",33,-2.54,"0.016","*","0.048","*"
"PALTEA","tp(B30)",-5.83,2.3,"",33,-2.54,"0.016","*","0.048","*"
"RTIFMDMT","(Intercept)",357.21,30.49,"",17.5,11.72,"<0.001","***","<0.001","***"
"RTIFMDMT","tp(A7)",26.75,23.22,"",33,1.15,"0.258","","1.000",""
"RTIFMDMT","tp(B7)",4.75,23.22,"",33,0.2,"0.839","","1.000",""
"RTIFMDMT","tp(B30)",21.46,23.22,"",33,0.92,"0.362","","1.000",""
"RTIFMDRT","(Intercept)",384.92,18.72,"",14.7,20.56,"<0.001","***","<0.001","***"
"RTIFMDRT","tp(A7)",-3.37,11.41,"",33,-0.3,"0.769","","1.000",""
"RTIFMDRT","tp(B7)",-1.33,11.41,"",33,-0.12,"0.908","","1.000",""
"RTIFMDRT","tp(B30)",-19.17,11.41,"",33,-1.68,"0.102","","0.512",""
"RTISMDMT","(Intercept)",306.75,32.4,"",15.5,9.47,"<0.001","***","<0.001","***"
"RTISMDMT","tp(A7)",49.19,22.16,"",32,2.22,"0.034","*","0.168",""
"RTISMDMT","tp(B7)",24.63,21.53,"",32,1.14,"0.261","","1.000",""
"RTISMDMT","tp(B30)",51.42,21.53,"",32,2.39,"0.023","*","0.115",""
"RTISMDRT","(Intercept)",341.67,19.73,"",13.3,17.32,"<0.001","***","<0.001","***"
"RTISMDRT","tp(A7)",-2.03,10.06,"",32.1,-0.2,"0.841","","1.000",""
"RTISMDRT","tp(B7)",-5.42,9.77,"",32,-0.55,"0.583","","1.000",""
"RTISMDRT","tp(B30)",-10.08,9.77,"",32,-1.03,"0.310","","1.000",""
"SWMBE12","(Intercept)",34.17,3.12,"",30.2,10.96,"<0.001","***","<0.001","***"
"SWMBE12","tp(A7)",-4,3.44,"",33,-1.16,"0.253","","1.000",""
"SWMBE12","tp(B7)",-4.33,3.44,"",33,-1.26,"0.217","","1.000",""
"SWMBE12","tp(B30)",-2.75,3.44,"",33,-0.8,"0.430","","1.000",""
"SWMBE4","(Intercept)",1.83,0.31,"",31.6,5.94,"<0.001","***","<0.001","***"
"SWMBE4","tp(A7)",-1.08,0.35,"",33,-3.11,"0.004","**","0.027","*"
"SWMBE4","tp(B7)",-1.67,0.35,"",33,-4.79,"<0.001","***","<0.001","***"
"SWMBE4","tp(B30)",-1.5,0.35,"",33,-4.31,"<0.001","***","<0.001","***"
"SWMBE468","(Intercept)",17.17,2.43,"",20.3,7.07,"<0.001","***","<0.001","***"
"SWMBE468","tp(A7)",-5.5,2.1,"",33,-2.61,"0.013","*","0.094",""
"SWMBE468","tp(B7)",-7.25,2.1,"",33,-3.44,"0.002","**","0.011","*"
