"measure","tp","est","SE","df","t.value","p.value","sig"
"MTSCFAPC","(Intercept)",100.68,2.07,24.3,48.61,"<0.001","***"
"MTSCFAPC","tp(A7)",-0.29,2.14,30,-0.13,"0.895",""
"MTSCFAPC","tp(B7)",-0.95,2.14,30,-0.45,"0.660",""
"MTSCFAPC","tp(B30)",-0.42,2.14,30,-0.2,"0.845",""
"MTSCFAPC","fivedasc_util_total",-0.05,0.03,24.3,-1.54,"0.137",""
"MTSCFAPC","tp(A7):fivedasc_util_total",0.01,0.03,30,0.15,"0.882",""
"MTSCFAPC","tp(B7):fivedasc_util_total",0.01,0.03,30,0.41,"0.684",""
"MTSCFAPC","tp(B30):fivedasc_util_total",0.01,0.03,30,0.4,"0.696",""
"MTSCFAPC","(Intercept)",101.23,2.25,23.5,44.97,"<0.001","***"
"MTSCFAPC","tp(A7)",-1.13,2.29,30,-0.49,"0.625",""
"MTSCFAPC","tp(B7)",-1.67,2.29,30,-0.73,"0.470",""
"MTSCFAPC","tp(B30)",-1.12,2.29,30,-0.49,"0.628",""
"MTSCFAPC","fivedasc_sprit_total",-0.05,0.03,23.5,-1.66,"0.109",""
"MTSCFAPC","tp(A7):fivedasc_sprit_total",0.02,0.03,30,0.54,"0.590",""
"MTSCFAPC","tp(B7):fivedasc_sprit_total",0.02,0.03,30,0.73,"0.474",""
"MTSCFAPC","tp(B30):fivedasc_sprit_total",0.02,0.03,30,0.7,"0.490",""
"MTSCFAPC","(Intercept)",100.33,1.9,24.2,52.8,"<0.001","***"
"MTSCFAPC","tp(A7)",0.05,1.96,30,0.03,"0.978",""
"MTSCFAPC","tp(B7)",-1.17,1.96,30,-0.6,"0.555",""
"MTSCFAPC","tp(B30)",-0.06,1.96,30,-0.03,"0.975",""
"MTSCFAPC","fivedasc_bliss_total",-0.04,0.03,24.2,-1.51,"0.144",""
"MTSCFAPC","tp(A7):fivedasc_bliss_total",0,0.03,30,-0.03,"0.975",""
"MTSCFAPC","tp(B7):fivedasc_bliss_total",0.02,0.03,30,0.59,"0.561",""
