"measure","tp","est","SE","df","t.value","p.value","sig"
"MTSCFAPC","(Intercept)",100.92,2.17,24.1,46.48,"<0.001","***"
"MTSCFAPC","tp(A7)",-0.43,2.24,30,-0.19,"0.850",""
"MTSCFAPC","tp(B7)",-1.26,2.24,30,-0.56,"0.578",""
"MTSCFAPC","tp(B30)",-0.63,2.24,30,-0.28,"0.779",""
"MTSCFAPC","boundlessMean",-0.05,0.03,24.1,-1.58,"0.128",""
"MTSCFAPC","tp(A7):boundlessMean",0.01,0.03,30,0.21,"0.833",""
"MTSCFAPC","tp(B7):boundlessMean",0.02,0.03,30,0.54,"0.593",""
"MTSCFAPC","tp(B30):boundlessMean",0.02,0.03,30,0.48,"0.636",""
"MTSCFAPC","(Intercept)",98.77,2.82,21.3,35.06,"<0.001","***"
"MTSCFAPC","tp(A7)",-1.22,2.7,30,-0.45,"0.656",""
"MTSCFAPC","tp(B7)",0.9,2.7,30,0.33,"0.741",""
"MTSCFAPC","tp(B30)",0.94,2.7,30,0.35,"0.731",""
"MTSCFAPC","anxiousEgoMean",-0.03,0.09,21.3,-0.35,"0.727",""
"MTSCFAPC","tp(A7):anxiousEgoMean",0.04,0.09,30,0.48,"0.633",""
"MTSCFAPC","tp(B7):anxiousEgoMean",-0.04,0.09,30,-0.42,"0.675",""
"MTSCFAPC","tp(B30):anxiousEgoMean",-0.02,0.09,30,-0.24,"0.812",""
"MTSCFAPC","(Intercept)",99.46,3.32,22.9,29.99,"<0.001","***"
"MTSCFAPC","tp(A7)",3.87,3.32,30,1.17,"0.253",""
"MTSCFAPC","tp(B7)",0.86,3.32,30,0.26,"0.798",""
"MTSCFAPC","tp(B30)",5.54,3.32,30,1.67,"0.106",""
"MTSCFAPC","visionaryMean",-0.03,0.05,22.9,-0.51,"0.614",""
"MTSCFAPC","tp(A7):visionaryMean",-0.07,0.05,30,-1.21,"0.234",""
"MTSCFAPC","tp(B7):visionaryMean",-0.02,0.05,30,-0.32,"0.751",""
"MTSCFAPC","tp(B30):visionaryMean",-0.09,0.05,30,-1.63,"0.114",""
"MTSPS82","(Intercept)",1862.34,491.18,33.9,3.79,"<0.001","***"
"MTSPS82","tp(A7)",-180.78,603.51,30,-0.3,"0.767",""
"MTSPS82","tp(B7)",195.37,603.51,30,0.32,"0.748",""
"MTSPS82","tp(B30)",-142.29,603.51,30,-0.24,"0.815",""
"MTSPS82","boundlessMean",5.93,7.38,33.9,0.8,"0.427",""
"MTSPS82","tp(A7):boundlessMean",2.3,9.07,30,0.25,"0.802",""
"MTSPS82","tp(B7):boundlessMean",-4.4,9.07,30,-0.49,"0.631",""
"MTSPS82","tp(B30):boundlessMean",1.38,9.07,30,0.15,"0.880",""
"MTSPS82","(Intercept)",2153.22,612.09,32.6,3.52,"0.001","**"
"MTSPS82","tp(A7)",-10.67,736.56,30,-0.01,"0.989",""
"MTSPS82","tp(B7)",-419.54,736.56,30,-0.57,"0.573",""
"MTSPS82","tp(B30)",-386.89,736.56,30,-0.53,"0.603",""
"MTSPS82","anxiousEgoMean",2.21,19.4,32.6,0.11,"0.910",""
"MTSPS82","tp(A7):anxiousEgoMean",-1.09,23.35,30,-0.05,"0.963",""
"MTSPS82","tp(B7):anxiousEgoMean",11.89,23.35,30,0.51,"0.614",""
"MTSPS82","tp(B30):anxiousEgoMean",11.11,23.35,30,0.48,"0.638",""
"MTSPS82","(Intercept)",1886.74,783.89,32,2.41,"0.022","*"
"MTSPS82","tp(A7)",495.84,935.14,30,0.53,"0.600",""
"MTSPS82","tp(B7)",819.03,935.14,30,0.88,"0.388",""
"MTSPS82","tp(B30)",564.24,935.14,30,0.6,"0.551",""
"MTSPS82","visionaryMean",5.69,12.92,32,0.44,"0.663",""
"MTSPS82","tp(A7):visionaryMean",-9.24,15.41,30,-0.6,"0.553",""
"MTSPS82","tp(B7):visionaryMean",-15.23,15.41,30,-0.99,"0.331",""
"MTSPS82","tp(B30):visionaryMean",-10.69,15.41,30,-0.69,"0.493",""
"MTSRCAMD","(Intercept)",2239.54,380.99,13.4,5.88,"<0.001","***"
"MTSRCAMD","tp(A7)",-408.98,231.71,30,-1.77,"0.088",""
"MTSRCAMD","tp(B7)",-413.91,231.71,30,-1.79,"0.084",""
"MTSRCAMD","tp(B30)",-540.38,231.71,30,-2.33,"0.027","*"
"MTSRCAMD","boundlessMean",6.12,5.73,13.4,1.07,"0.304",""
"MTSRCAMD","tp(A7):boundlessMean",5.7,3.48,30,1.64,"0.112",""
"MTSRCAMD","tp(B7):boundlessMean",1.92,3.48,30,0.55,"0.585",""
"MTSRCAMD","tp(B30):boundlessMean",3.5,3.48,30,1.01,"0.323",""
"MTSRCAMD","(Intercept)",2079.97,499.08,12.9,4.17,"0.001","**"
"MTSRCAMD","tp(A7)",17.59,285.53,30,0.06,"0.951",""
"MTSRCAMD","tp(B7)",53.23,285.53,30,0.19,"0.853",""
"MTSRCAMD","tp(B30)",-294.92,285.53,30,-1.03,"0.310",""
"MTSRCAMD","anxiousEgoMean",17.87,15.82,12.9,1.13,"0.279",""
"MTSRCAMD","tp(A7):anxiousEgoMean",-2.86,9.05,30,-0.32,"0.754",""
"MTSRCAMD","tp(B7):anxiousEgoMean",-11.92,9.05,30,-1.32,"0.198",""
"MTSRCAMD","tp(B30):anxiousEgoMean",-1.2,9.05,30,-0.13,"0.896",""
"MTSRCAMD","(Intercept)",2727.26,664.96,12.8,4.1,"0.001","**"
"MTSRCAMD","tp(A7)",-263.73,375.49,30,-0.7,"0.488",""
"MTSRCAMD","tp(B7)",-491.83,375.49,30,-1.31,"0.200",""
"MTSRCAMD","tp(B30)",-388.54,375.49,30,-1.03,"0.309",""
"MTSRCAMD","visionaryMean",-2.06,10.96,12.8,-0.19,"0.854",""
"MTSRCAMD","tp(A7):visionaryMean",3.38,6.19,30,0.55,"0.589",""
"MTSRCAMD","tp(B7):visionaryMean",3.32,6.19,30,0.54,"0.596",""
"MTSRCAMD","tp(B30):visionaryMean",1,6.19,30,0.16,"0.873",""
"MTSRFAMD","(Intercept)",2263.19,383.31,13.5,5.9,"<0.001","***"
"MTSRFAMD","tp(A7)",-430.76,236.35,30,-1.82,"0.078",""
"MTSRFAMD","tp(B7)",-401.16,236.35,30,-1.7,"0.100",""
"MTSRFAMD","tp(B30)",-564.02,236.35,30,-2.39,"0.024","*"
"MTSRFAMD","boundlessMean",5.42,5.76,13.5,0.94,"0.363",""
