"measure","tp","est","SE","df","t.value","p.value","sig"
"MTSCFAPC","(Intercept)",98.23,4.26,16.5,23.05,"<0.001","***"
"MTSCFAPC","tp(A7)",3.92,4,24,0.98,"0.337",""
"MTSCFAPC","tp(B7)",3.11,4,24,0.78,"0.445",""
"MTSCFAPC","tp(B30)",8.23,4,24,2.05,"0.051",""
"MTSCFAPC","boundlessMean",-0.08,0.05,16.5,-1.63,"0.123",""
"MTSCFAPC","anxiousEgoMean",0.03,0.09,16.5,0.29,"0.777",""
"MTSCFAPC","visionaryMean",0.06,0.08,16.5,0.77,"0.450",""
"MTSCFAPC","tp(A7):boundlessMean",0.06,0.05,24,1.27,"0.215",""
"MTSCFAPC","tp(B7):boundlessMean",0.06,0.05,24,1.3,"0.204",""
"MTSCFAPC","tp(B30):boundlessMean",0.11,0.05,24,2.37,"0.026","*"
"MTSCFAPC","tp(A7):anxiousEgoMean",0.01,0.09,24,0.17,"0.868",""
"MTSCFAPC","tp(B7):anxiousEgoMean",-0.07,0.09,24,-0.85,"0.406",""
"MTSCFAPC","tp(B30):anxiousEgoMean",-0.08,0.09,24,-0.89,"0.384",""
"MTSCFAPC","tp(A7):visionaryMean",-0.13,0.07,24,-1.82,"0.081",""
"MTSCFAPC","tp(B7):visionaryMean",-0.08,0.07,24,-1.08,"0.289",""
"MTSCFAPC","tp(B30):visionaryMean",-0.21,0.07,24,-2.8,"0.010","**"
"MTSPS82","(Intercept)",2036.72,962.07,29.2,2.12,"0.043","*"
"MTSPS82","tp(A7)",775,1232.53,24,0.63,"0.535",""
"MTSPS82","tp(B7)",454.11,1232.53,24,0.37,"0.716",""
"MTSPS82","tp(B30)",448.82,1232.53,24,0.36,"0.719",""
"MTSPS82","boundlessMean",7.48,10.98,29.2,0.68,"0.501",""
"MTSPS82","anxiousEgoMean",-3.91,21.02,29.2,-0.19,"0.854",""
"MTSPS82","visionaryMean",-2.61,17.78,29.2,-0.15,"0.884",""
"MTSPS82","tp(A7):boundlessMean",12.3,14.07,24,0.87,"0.391",""
"MTSPS82","tp(B7):boundlessMean",0.18,14.07,24,0.01,"0.990",""
