"measure","tp","est","SE","hedges.g","df","t.value","p.value","sig","adj.p.value","adj.sig"
"MTSCFAPC","(Intercept)",97.83,0.96,"",23.5,101.59,"<0.001","***","<0.001","***"
"MTSCFAPC","tp(A7)",0,0.93,"0",33,0,"1.000","","1.000",""
"MTSCFAPC","tp(B7)",-0.17,0.93,"-0.05",33,-0.18,"0.858","","1.000",""
"MTSCFAPC","tp(B30)",0.33,0.93,"0.09",33,0.36,"0.721","","1.000",""
"MTSPS82","(Intercept)",2218.34,209.15,"",35.6,10.61,"<0.001","***","<0.001","***"
"MTSPS82","tp(A7)",-42.87,250.76,"-0.06",33,-0.17,"0.865","","1.000",""
"MTSPS82","tp(B7)",-68.77,250.76,"-0.14",33,-0.27,"0.786","","1.000",""
"MTSPS82","tp(B30)",-59.19,250.76,"-0.09",33,-0.24,"0.815","","1.000",""
"MTSRCAMD","(Intercept)",2607.13,175.48,"",14.2,14.86,"<0.001","***","<0.001","***"
"MTSRCAMD","tp(A7)",-66.83,99.74,"-0.11",33,-0.67,"0.507","","1.000",""
"MTSRCAMD","tp(B7)",-298.54,99.74,"-0.59",33,-2.99,"0.005","**","0.021","*"
"MTSRCAMD","tp(B30)",-330.25,99.74,"-0.58",33,-3.31,"0.002","**","0.009","**"
"MTSRFAMD","(Intercept)",2588.62,174.92,"",14.4,14.8,"<0.001","***","<0.001","***"
"MTSRFAMD","tp(A7)",-52.58,103,"-0.09",33,-0.51,"0.613","","1.000",""
"MTSRFAMD","tp(B7)",-307.25,103,"-0.62",33,-2.98,"0.005","**","0.021","*"
"MTSRFAMD","tp(B30)",-311.75,103,"-0.55",33,-3.03,"0.005","**","0.019","*"
"OTSMDLFC","(Intercept)",12263.67,1546.61,"",33.5,7.93,"<0.001","***","<0.001","***"
"OTSMDLFC","tp(A7)",3287.67,1799.82,"0.61",33,1.83,"0.077","","0.154",""
"OTSMDLFC","tp(B7)",594.08,1799.82,"0.15",33,0.33,"0.743","","1.000",""
"OTSMDLFC","tp(B30)",568.17,1799.82,"0.12",33,0.32,"0.754","","1.000",""
"OTSPSFC","(Intercept)",9.83,0.81,"",25.3,12.14,"<0.001","***","<0.001","***"
"OTSPSFC","tp(A7)",-0.67,0.81,"-0.22",33,-0.82,"0.418","","0.837",""
"OTSPSFC","tp(B7)",-0.17,0.81,"-0.06",33,-0.2,"0.839","","1.000",""
"OTSPSFC","tp(B30)",-0.17,0.81,"-0.07",33,-0.2,"0.839","","1.000",""
"PALFAMS","(Intercept)",9,1.35,"",15.1,6.65,"<0.001","***","<0.001","***"
"PALFAMS","tp(A7)",3.08,0.86,"0.68",33,3.6,"0.001","**","0.002","**"
