"measure","tp","est","SE","df","t.value","p.value","sig","adj.p.value","adj.sig"
"PALTEA","(Intercept)",26.25,5.09,12.9,5.15919405802648,"<0.001","***","<0.001","***"
"PALTEA","tp(A7)",-8.58,2.3,33,-3.73855121631512,"<0.001","***","0.001","**"
"PALTEA","tp(B7)",-5.83,2.3,33,-2.54076296254426,"0.016","*","0.032","*"
"PALTEA","tp(B30)",-5.83,2.3,33,-2.54076296254426,"0.016","*","0.032","*"
"PALFAMS","(Intercept)",9,1.35,15.1,6.65324383473353,"<0.001","***","<0.001","***"
"PALFAMS","tp(A7)",3.08,0.86,33,3.6030399233365,"0.001","**","0.002","**"
"PALFAMS","tp(B7)",2.75,0.86,33,3.21352209378661,"0.003","**","0.006","**"
"PALFAMS","tp(B30)",2.5,0.86,33,2.92138372162419,"0.006","**","0.012","*"
"RTISMDRT","(Intercept)",339.41,21.05,12,16.121401406066,"<0.001","***","<0.001","***"
"RTISMDRT","tp(A7)",-3.68,10.24,30,-0.359391649632476,"0.722","","1.000",""
"RTISMDRT","tp(B7)",-9.32,10.24,30,-0.909571458946391,"0.370","","1.000",""
"RTISMDRT","tp(B30)",-11.68,10.24,30,-1.14029202414255,"0.263","","1.000",""
"RTISMDMT","(Intercept)",305.5,31.99,13.5,9.54883301869024,"<0.001","***","<0.001","***"
"RTISMDMT","tp(A7)",39.27,19.71,30,1.99230272995758,"0.056","","0.222",""
"RTISMDMT","tp(B7)",10.14,19.71,30,0.514217024051551,"0.611","","1.000",""
"RTISMDMT","tp(B30)",33,19.71,30,1.67408771058935,"0.105","","0.418",""
"RTIFMDRT","(Intercept)",384.92,18.72,14.7,20.5604078036285,"<0.001","***","<0.001","***"
"RTIFMDRT","tp(A7)",-3.37,11.41,33,-0.295793815924565,"0.769","","1.000",""
"RTIFMDRT","tp(B7)",-1.33,11.41,33,-0.116856816167729,"0.908","","1.000",""
"RTIFMDRT","tp(B30)",-19.17,11.41,33,-1.67981673241111,"0.102","","0.410",""
"RTIFMDMT","(Intercept)",357.21,30.49,17.5,11.716086329563,"<0.001","***","<0.001","***"
"RTIFMDMT","tp(A7)",26.75,23.22,33,1.15214984472881,"0.258","","1.000",""
"RTIFMDMT","tp(B7)",4.75,23.22,33,0.20458735560605,"0.839","","1.000",""
"RTIFMDMT","tp(B30)",21.46,23.22,33,0.924232352079965,"0.362","","1.000",""
"OTSPSFC","(Intercept)",9.83,0.81,25.3,12.135611685389,"<0.001","***","<0.001","***"
"OTSPSFC","tp(A7)",-0.67,0.81,33,-0.819607066469934,"0.418","","0.837",""
"OTSPSFC","tp(B7)",-0.17,0.81,33,-0.204901766617482,"0.839","","1.000",""
"OTSPSFC","tp(B30)",-0.17,0.81,33,-0.204901766617482,"0.839","","1.000",""
"OTSMDLFC","(Intercept)",12263.67,1546.61,33.5,7.92936385495656,"<0.001","***","<0.001","***"
"OTSMDLFC","tp(A7)",3287.67,1799.82,33,1.82665953983931,"0.077","","0.154",""
"OTSMDLFC","tp(B7)",594.08,1799.82,33,0.330078471548067,"0.743","","1.000",""
"OTSMDLFC","tp(B30)",568.17,1799.82,33,0.315678919766407,"0.754","","1.000",""
"SWMBE468","(Intercept)",17.17,2.43,20.3,7.06772615527787,"<0.001","***","<0.001","***"
"SWMBE468","tp(A7)",-5.5,2.1,33,-2.61305812488842,"0.013","*","0.080",""
"SWMBE468","tp(B7)",-7.25,2.1,33,-3.44448571008019,"0.002","**","0.009","**"
"SWMBE468","tp(B30)",-4,2.1,33,-1.90040590900976,"0.066","","0.397",""
"SWMBE4","(Intercept)",1.83,0.31,31.6,5.94278970257721,"<0.001","***","<0.001","***"
"SWMBE4","tp(A7)",-1.08,0.35,33,-3.11028844697768,"0.004","**","0.023","*"
"SWMBE4","tp(B7)",-1.67,0.35,33,-4.78505914919643,"<0.001","***","<0.001","***"
"SWMBE4","tp(B30)",-1.5,0.35,33,-4.30655323427679,"<0.001","***","<0.001","***"
"SWMBE6","(Intercept)",5.08,0.86,23.8,5.94206810143249,"<0.001","***","<0.001","***"
"SWMBE6","tp(A7)",-2.5,0.83,33,-3.01997038179833,"0.005","**","0.029","*"
"SWMBE6","tp(B7)",-2.92,0.83,33,-3.52329877876472,"0.001","**","0.008","**"
"SWMBE6","tp(B30)",-2,0.83,33,-2.41597630543866,"0.021","*","0.128",""
"SWMBE8","(Intercept)",10.25,1.67,26.7,6.12620275577518,"<0.001","***","<0.001","***"
"SWMBE8","tp(A7)",-1.92,1.73,33,-1.10625826790259,"0.277","","1.000",""
"SWMBE8","tp(B7)",-2.67,1.73,33,-1.53914193795143,"0.133","","0.800",""
"SWMBE8","tp(B30)",-0.5,1.73,33,-0.288589113365893,"0.775","","1.000",""
"SWMBE12","(Intercept)",34.17,3.12,30.2,10.9592232455362,"<0.001","***","<0.001","***"
"SWMBE12","tp(A7)",-4,3.44,33,-1.16263323854981,"0.253","","1.000",""
"SWMBE12","tp(B7)",-4.33,3.44,33,-1.25951934176229,"0.217","","1.000",""
"SWMBE12","tp(B30)",-2.75,3.44,33,-0.799310351502992,"0.430","","1.000",""
"SWMS","(Intercept)",8.67,0.87,17.6,9.93862428097316,"<0.001","***","<0.001","***"
"SWMS","tp(A7)",-0.92,0.67,33,-1.37111032771327,"0.180","","1.000",""
"SWMS","tp(B7)",-1.5,0.67,33,-2.24363508171263,"0.032","*","0.190",""
"SWMS","tp(B30)",-1.25,0.67,33,-1.86969590142719,"0.070","","0.423",""
"MTSCFAPC","(Intercept)",97.83,0.96,23.5,101.590602887935,"<0.001","***","<0.001","***"
"MTSCFAPC","tp(A7)",0,0.93,33,5.00096159489462e-17,"1.000","","1.000",""
"MTSCFAPC","tp(B7)",-0.17,0.93,33,-0.180178630202092,"0.858","","1.000",""
"MTSCFAPC","tp(B30)",0.33,0.93,33,0.360357260404185,"0.721","","1.000",""
"MTSRFAMD","(Intercept)",2588.62,174.92,14.4,14.7988469986683,"<0.001","***","<0.001","***"
"MTSRFAMD","tp(A7)",-52.58,103,33,-0.510526057139255,"0.613","","1.000",""
"MTSRFAMD","tp(B7)",-307.25,103,33,-2.98305795986123,"0.005","**","0.021","*"
"MTSRFAMD","tp(B30)",-311.75,103,33,-3.02674798693812,"0.005","**","0.019","*"
"MTSRCAMD","(Intercept)",2607.13,175.48,14.2,14.8574127095333,"<0.001","***","<0.001","***"
"MTSRCAMD","tp(A7)",-66.83,99.74,33,-0.670091618840891,"0.507","","1.000",""
"MTSRCAMD","tp(B7)",-298.54,99.74,33,-2.99327085348814,"0.005","**","0.021","*"
"MTSRCAMD","tp(B30)",-330.25,99.74,33,-3.31118838586839,"0.002","**","0.009","**"
"MTSPS82","(Intercept)",2218.34,209.15,35.6,10.6063259755758,"<0.001","***","<0.001","***"
"MTSPS82","tp(A7)",-42.87,250.76,33,-0.170949099495163,"0.865","","1.000",""
"MTSPS82","tp(B7)",-68.77,250.76,33,-0.27425682401444,"0.786","","1.000",""
"MTSPS82","tp(B30)",-59.19,250.76,33,-0.236049367950094,"0.815","","1.000",""
"CSSRS","(Intercept)",1.3,0.29,38.3,4.54438888719534,"<0.001","***","<0.001","***"
"CSSRS","tp(A1)",-0.8,0.35,42.3,-2.31062774994124,"0.026","*","0.026","*"
"CSSRS","tp(A7)",-1.1,0.35,42.3,-3.1771131561692,"0.003","**","0.003","**"
"CSSRS","tp(B1)",-0.95,0.36,42.8,-2.65096320492413,"0.011","*","0.011","*"
"CSSRS","tp(B7)",-1.06,0.36,42.8,-2.96190129176421,"0.005","**","0.005","**"
"CSSRS","tp(B30)",-0.73,0.36,42.8,-2.02908703124398,"0.049","*","0.049","*"
"ESAPS","(Intercept)",2.7,0.82,13.5,3.29244889076953,"0.006","**","0.006","**"
"ESAPS","tp(A1)",-0.9,0.53,43.2,-1.69279735102686,"0.098","","0.098",""
"ESAPS","tp(A7)",-2.1,0.55,43.1,-3.85035020404721,"<0.001","***","<0.001","***"
"ESAPS","tp(B1)",-1.78,0.56,43.3,-3.1523961732227,"0.003","**","0.003","**"
"ESAPS","tp(B7)",-1.11,0.56,43.3,-1.9720596210808,"0.055","","0.055",""
"ESAPS","tp(B30)",-1.34,0.56,43.3,-2.36550513846143,"0.023","*","0.023","*"
"MADRS","(Intercept)",21.3,3.01,17.5,7.07634130688016,"<0.001","***","<0.001","***"
"MADRS","tp(A7)",-4.4,2.68,32.8,-1.63908337945499,"0.111","","0.111",""
"MADRS","tp(B7)",-6.39,2.79,33.2,-2.29413328213979,"0.028","*","0.028","*"
"MADRS","tp(B30)",-3.72,2.79,33.2,-1.33666951374184,"0.190","","0.190",""
"MADRS","tp(B90)",-6.61,2.79,33.2,-2.37392192950628,"0.024","*","0.024","*"
"HAMA","(Intercept)",16.8,1.82,21.2,9.22151559409861,"<0.001","***","<0.001","***"
"HAMA","tp(A7)",-1.34,1.87,33.6,-0.718640813796013,"0.477","","0.477",""
"HAMA","tp(B7)",-3.34,1.87,33.6,-1.78793849923869,"0.083","","0.083",""
"HAMA","tp(B30)",-1.01,1.87,33.6,-0.5404245328889,"0.592","","0.592",""
"HAMA","tp(B90)",-2.23,1.87,33.6,-1.19388422954832,"0.241","","0.241",""
"PLR","(Intercept)",2.95,0.68,37.6,4.32188404854632,"<0.001","***","<0.001","***"
"PLR","tp(A7)",1.89,0.86,29,2.20309695534174,"0.036","*","0.036","*"
"PLR","tp(B7)",2.51,0.88,29.7,2.86834113748041,"0.008","**","0.008","**"
"PLR","tp(B30)",2.93,0.89,29.1,3.28155989706521,"0.003","**","0.003","**"
