measure,tp,obs
UPDRS_1,A7,11.2±3.2
UPDRS_1,B30,7.7±3.3
UPDRS_1,B7,7.9±2.6
UPDRS_1,bsl,21.4±5.6
UPDRS_2,A7,11.2±5.3
UPDRS_2,B30,8.3±5.1
UPDRS_2,B7,9.0±5.1
UPDRS_2,bsl,15.8±6.8
UPDRS_3,A7,34.3±13.9
UPDRS_3,B30,33.1±14.2
UPDRS_3,B7,34.2±12.5
UPDRS_3,bsl,37.8±12.8
UPDRS_4,A7,1.0±2.0
UPDRS_4,B30,0.8±1.6
UPDRS_4,B7,0.8±1.3
UPDRS_4,bsl,1.3±2.6
HAMA,A7,15.5±6.5
HAMA,B30,13.4±7.5
HAMA,B7,12.1±6.0
HAMA,B90,12.8±6.4
HAMA,bsl,16.6±3.8
MADRS,A7,16.2±9.7
MADRS,B30,13.6±9.8
MADRS,B7,13.1±7.7
MADRS,B90,11.7±9.4
MADRS,bsl,21.0±8.7
CCFQ,A7,72.0±14.0
CCFQ,B30,73.3±13.3
CCFQ,B7,71.8±9.1
CCFQ,bsl,69.2±10.3
CSSRS,A7,0.2±0.4
CSSRS,B30,0.4±0.9
CSSRS,B7,0.2±0.4
CSSRS,bsl,1.1±1.2
ESAPS,A7,0.5±1.0
ESAPS,B30,1.0±1.9
ESAPS,B7,1.2±2.5
ESAPS,bsl,2.3±3.5
NPIQ_DIS,A7,4.4±5.2
NPIQ_DIS,B30,4.2±3.9
NPIQ_DIS,B7,2.3±4.4
NPIQ_DIS,B90,1.5±1.6
NPIQ_DIS,bsl,7.7±5.2
NPIQ_SEV,A7,3.1±2.9
NPIQ_SEV,B30,2.7±2.3
NPIQ_SEV,B7,1.7±3.1
NPIQ_SEV,B90,1.6±1.4
NPIQ_SEV,bsl,6.8±3.9
