"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"MTSCFAPC","A7","age",0.662,0.526,0.502,"","",""
"MTSCFAPC","A7","LED",0.579,0.461,0.426,"","",""
"MTSCFAPC","A7","severity",0.649,0.227,0.263,"","",""
"MTSCFAPC","A7","fivedasc_util_total",0.144,0.073,0.117,"","",""
"MTSCFAPC","A7","fivedasc_sprit_total",0.245,0.109,0.156,"","",""
"MTSCFAPC","A7","fivedasc_bliss_total",0.099,0.044,0.086,"","*",""
"MTSCFAPC","A7","fivedasc_insight_total",0.189,0.014,0.044,"","*","*"
"MTSCFAPC","A7","fivedasc_dis_total",0.235,0.258,0.263,"","",""
"MTSCFAPC","A7","fivedasc_imp_total",0.173,0.08,0.086,"","",""
"MTSCFAPC","A7","fivedasc_anx_total",0.336,0.207,0.205,"","",""
"MTSCFAPC","A7","fivedasc_cimg_total",0.985,0.977,1,"","",""
"MTSCFAPC","A7","fivedasc_eimg_total",0.193,0.163,0.156,"","",""
"MTSCFAPC","A7","fivedasc_av_total",0.097,0.14,0.086,"","",""
"MTSCFAPC","A7","fivedasc_per_total",0.046,0.014,0.03,"*","*","*"
"MTSCFAPC","A7","boundlessMean",0.151,0.073,0.117,"","",""
"MTSCFAPC","A7","anxiousEgoMean",0.909,0.981,0.941,"","",""
"MTSCFAPC","A7","visionaryMean",0.064,0.035,0.044,"","*","*"
"MTSCFAPC","B30","age",0.26,0.737,0.804,"","",""
"MTSCFAPC","B30","LED",0.911,0.99,1,"","",""
"MTSCFAPC","B30","severity",0.95,0.533,0.563,"","",""
"MTSCFAPC","B30","fivedasc_util_total",0.342,0.67,0.679,"","",""
"MTSCFAPC","B30","fivedasc_sprit_total",0.421,0.767,0.804,"","",""
"MTSCFAPC","B30","fivedasc_bliss_total",0.284,0.595,0.563,"","",""
"MTSCFAPC","B30","fivedasc_insight_total",0.476,0.409,0.363,"","",""
"MTSCFAPC","B30","fivedasc_dis_total",0.348,0.877,0.804,"","",""
"MTSCFAPC","B30","fivedasc_imp_total",0.737,0.613,0.679,"","",""
"MTSCFAPC","B30","fivedasc_anx_total",0.957,0.698,0.679,"","",""
"MTSCFAPC","B30","fivedasc_cimg_total",0.522,0.339,0.32,"","",""
"MTSCFAPC","B30","fivedasc_eimg_total",0.21,0.019,0.026,"","*","*"
"MTSCFAPC","B30","fivedasc_av_total",0.064,0.061,0.083,"","",""
"MTSCFAPC","B30","fivedasc_per_total",0.156,0.433,0.363,"","",""
"MTSCFAPC","B30","boundlessMean",0.362,0.67,0.679,"","",""
"MTSCFAPC","B30","anxiousEgoMean",0.606,0.623,0.563,"","",""
"MTSCFAPC","B30","visionaryMean",0.058,0.088,0.057,"","",""
"MTSCFAPC","B7","age",0.263,0.131,0.112,"","",""
"MTSCFAPC","B7","LED",0.862,0.893,0.825,"","",""
"MTSCFAPC","B7","severity",0.688,0.726,0.772,"","",""
"MTSCFAPC","B7","fivedasc_util_total",0.191,0.227,0.311,"","",""
"MTSCFAPC","B7","fivedasc_sprit_total",0.277,0.237,0.247,"","",""
"MTSCFAPC","B7","fivedasc_bliss_total",0.298,0.523,0.563,"","",""
"MTSCFAPC","B7","fivedasc_insight_total",0.212,0.356,0.47,"","",""
"MTSCFAPC","B7","fivedasc_dis_total",0.025,0.023,0.03,"*","*","*"
"MTSCFAPC","B7","fivedasc_imp_total",0.479,0.471,0.47,"","",""
"MTSCFAPC","B7","fivedasc_anx_total",0.597,0.569,0.563,"","",""
"MTSCFAPC","B7","fivedasc_cimg_total",0.473,0.414,0.426,"","",""
"MTSCFAPC","B7","fivedasc_eimg_total",0.634,0.839,0.664,"","",""
"MTSCFAPC","B7","fivedasc_av_total",0.402,0.812,0.664,"","",""
"MTSCFAPC","B7","fivedasc_per_total",0.056,0.194,0.247,"","",""
"MTSCFAPC","B7","boundlessMean",0.232,0.296,0.386,"","",""
"MTSCFAPC","B7","anxiousEgoMean",0.35,0.428,0.386,"","",""
"MTSCFAPC","B7","visionaryMean",0.347,0.493,0.563,"","",""
"MTSCFAPC","bsl","age",0.709,0.77,0.755,"","",""
"MTSCFAPC","bsl","LED",0.621,0.606,0.556,"","",""
"MTSCFAPC","bsl","severity",0.245,0.095,0.086,"","",""
"MTSCFAPC","bsl","fivedasc_util_total",0.211,0.307,0.275,"","",""
"MTSCFAPC","bsl","fivedasc_sprit_total",0.168,0.129,0.119,"","",""
"MTSCFAPC","bsl","fivedasc_bliss_total",0.222,0.372,0.35,"","",""
"MTSCFAPC","bsl","fivedasc_insight_total",0.243,0.248,0.212,"","",""
"MTSCFAPC","bsl","fivedasc_dis_total",0.055,0.073,0.043,"","","*"
"MTSCFAPC","bsl","fivedasc_imp_total",0.211,0.524,0.436,"","",""
"MTSCFAPC","bsl","fivedasc_anx_total",0.266,0.507,0.436,"","",""
"MTSCFAPC","bsl","fivedasc_cimg_total",0.389,0.855,0.815,"","",""
"MTSCFAPC","bsl","fivedasc_eimg_total",0.916,0.661,0.64,"","",""
"MTSCFAPC","bsl","fivedasc_av_total",0.576,0.942,1,"","",""
"MTSCFAPC","bsl","fivedasc_per_total",0.281,0.187,0.161,"","",""
"MTSCFAPC","bsl","boundlessMean",0.198,0.248,0.212,"","",""
"MTSCFAPC","bsl","anxiousEgoMean",0.768,0.608,0.64,"","",""
"MTSCFAPC","bsl","visionaryMean",0.694,0.903,0.876,"","",""
"MTSPS82","A7","age",0.176,0.43,0.459,"","",""
"MTSPS82","A7","LED",0.364,0.482,0.458,"","",""
"MTSPS82","A7","severity",0.018,0.04,0.031,"*","*","*"
"MTSPS82","A7","fivedasc_util_total",0.588,0.471,0.638,"","",""
"MTSPS82","A7","fivedasc_sprit_total",0.422,0.266,0.311,"","",""
"MTSPS82","A7","fivedasc_bliss_total",0.555,0.342,0.459,"","",""
"MTSPS82","A7","fivedasc_insight_total",0.172,0.169,0.25,"","",""
"MTSPS82","A7","fivedasc_dis_total",0.242,0.201,0.197,"","",""
"MTSPS82","A7","fivedasc_imp_total",0.341,0.379,0.381,"","",""
"MTSPS82","A7","fivedasc_anx_total",0.368,0.635,0.638,"","",""
"MTSPS82","A7","fivedasc_cimg_total",0.429,0.837,0.731,"","",""
"MTSPS82","A7","fivedasc_eimg_total",0.685,0.588,0.638,"","",""
"MTSPS82","A7","fivedasc_av_total",0.462,0.379,0.459,"","",""
"MTSPS82","A7","fivedasc_per_total",0.781,0.558,0.737,"","",""
"MTSPS82","A7","boundlessMean",0.408,0.379,0.545,"","",""
"MTSPS82","A7","anxiousEgoMean",0.966,0.921,0.947,"","",""
"MTSPS82","A7","visionaryMean",0.837,0.921,0.841,"","",""
"MTSPS82","B30","age",0.529,0.558,0.638,"","",""
"MTSPS82","B30","LED",0.616,0.829,0.916,"","",""
"MTSPS82","B30","severity",0.004,0.005,0.005,"**","**","**"
"MTSPS82","B30","fivedasc_util_total",0.561,0.619,0.841,"","",""
"MTSPS82","B30","fivedasc_sprit_total",0.372,0.391,0.638,"","",""
"MTSPS82","B30","fivedasc_bliss_total",0.523,0.444,0.638,"","",""
"MTSPS82","B30","fivedasc_insight_total",0.27,0.276,0.381,"","",""
"MTSPS82","B30","fivedasc_dis_total",0.175,0.297,0.311,"","",""
"MTSPS82","B30","fivedasc_imp_total",0.961,0.573,0.545,"","",""
"MTSPS82","B30","fivedasc_anx_total",0.456,0.904,1,"","",""
"MTSPS82","B30","fivedasc_cimg_total",0.549,0.762,0.63,"","",""
"MTSPS82","B30","fivedasc_eimg_total",0.947,0.749,0.841,"","",""
"MTSPS82","B30","fivedasc_av_total",0.55,0.404,0.311,"","",""
"MTSPS82","B30","fivedasc_per_total",0.84,0.573,0.545,"","",""
"MTSPS82","B30","boundlessMean",0.415,0.514,0.737,"","",""
"MTSPS82","B30","anxiousEgoMean",0.567,0.7,0.545,"","",""
"MTSPS82","B30","visionaryMean",0.748,0.528,0.459,"","",""
"MTSPS82","B7","age",0.223,0.43,0.459,"","",""
"MTSPS82","B7","LED",0.856,0.729,0.75,"","",""
"MTSPS82","B7","severity",0.914,0.783,0.638,"","",""
"MTSPS82","B7","fivedasc_util_total",0.976,0.939,0.841,"","",""
"MTSPS82","B7","fivedasc_sprit_total",0.596,0.783,0.638,"","",""
"MTSPS82","B7","fivedasc_bliss_total",0.916,0.667,0.638,"","",""
"MTSPS82","B7","fivedasc_insight_total",0.746,0.869,0.737,"","",""
"MTSPS82","B7","fivedasc_dis_total",0.874,0.766,0.638,"","",""
"MTSPS82","B7","fivedasc_imp_total",0.725,0.886,0.947,"","",""
"MTSPS82","B7","fivedasc_anx_total",0.194,0.184,0.197,"","",""
"MTSPS82","B7","fivedasc_cimg_total",0.122,0.127,0.114,"","",""
"MTSPS82","B7","fivedasc_eimg_total",0.137,0.852,0.841,"","",""
"MTSPS82","B7","fivedasc_av_total",0.114,0.287,0.311,"","",""
"MTSPS82","B7","fivedasc_per_total",0.634,0.817,0.947,"","",""
"MTSPS82","B7","boundlessMean",0.814,0.834,0.737,"","",""
"MTSPS82","B7","anxiousEgoMean",0.389,0.237,0.381,"","",""
"MTSPS82","B7","visionaryMean",0.381,0.904,1,"","",""
"MTSPS82","bsl","age",0.055,0.256,0.381,"","",""
"MTSPS82","bsl","LED",0.462,0.555,0.596,"","",""
"MTSPS82","bsl","severity",0.468,0.683,0.737,"","",""
"MTSPS82","bsl","fivedasc_util_total",0.117,0.115,0.153,"","",""
"MTSPS82","bsl","fivedasc_sprit_total",0.156,0.227,0.381,"","",""
"MTSPS82","bsl","fivedasc_bliss_total",0.072,0.089,0.153,"","",""
"MTSPS82","bsl","fivedasc_insight_total",0.319,0.331,0.459,"","",""
"MTSPS82","bsl","fivedasc_dis_total",0.446,0.716,0.737,"","",""
"MTSPS82","bsl","fivedasc_imp_total",0.718,0.667,0.841,"","",""
"MTSPS82","bsl","fivedasc_anx_total",0.67,0.749,0.737,"","",""
"MTSPS82","bsl","fivedasc_cimg_total",0.489,0.477,0.45,"","",""
"MTSPS82","bsl","fivedasc_eimg_total",0.59,0.886,0.947,"","",""
"MTSPS82","bsl","fivedasc_av_total",0.56,0.514,0.381,"","",""
"MTSPS82","bsl","fivedasc_per_total",0.591,0.404,0.459,"","",""
"MTSPS82","bsl","boundlessMean",0.136,0.154,0.197,"","",""
"MTSPS82","bsl","anxiousEgoMean",0.838,0.749,0.841,"","",""
"MTSPS82","bsl","visionaryMean",0.423,0.499,0.545,"","",""
"MTSRCAMD","A7","age",0.009,0.016,0.014,"**","*","*"
"MTSRCAMD","A7","LED",0.801,0.846,0.916,"","",""
"MTSRCAMD","A7","severity",0.055,0.028,0.063,"","*",""
"MTSRCAMD","A7","fivedasc_util_total",0.175,0.21,0.311,"","",""
"MTSRCAMD","A7","fivedasc_sprit_total",0.097,0.154,0.197,"","",""
"MTSRCAMD","A7","fivedasc_bliss_total",0.087,0.075,0.116,"","",""
"MTSRCAMD","A7","fivedasc_insight_total",0.131,0.121,0.153,"","",""
"MTSRCAMD","A7","fivedasc_dis_total",0.214,0.404,0.459,"","",""
"MTSRCAMD","A7","fivedasc_imp_total",0.788,0.604,0.737,"","",""
"MTSRCAMD","A7","fivedasc_anx_total",0.964,0.869,0.841,"","",""
"MTSRCAMD","A7","fivedasc_cimg_total",0.509,0.812,0.731,"","",""
"MTSRCAMD","A7","fivedasc_eimg_total",0.924,0.939,0.841,"","",""
"MTSRCAMD","A7","fivedasc_av_total",0.617,0.499,0.638,"","",""
"MTSRCAMD","A7","fivedasc_per_total",0.703,0.256,0.25,"","",""
"MTSRCAMD","A7","boundlessMean",0.108,0.177,0.25,"","",""
"MTSRCAMD","A7","anxiousEgoMean",0.451,0.528,0.737,"","",""
"MTSRCAMD","A7","visionaryMean",0.922,0.904,1,"","",""
"MTSRCAMD","B30","age",0.053,0.046,0.063,"","*",""
"MTSRCAMD","B30","LED",0.766,0.648,0.916,"","",""
"MTSRCAMD","B30","severity",0.002,0.003,0.005,"**","**","**"
"MTSRCAMD","B30","fivedasc_util_total",0.295,0.227,0.311,"","",""
"MTSRCAMD","B30","fivedasc_sprit_total",0.143,0.134,0.116,"","",""
"MTSRCAMD","B30","fivedasc_bliss_total",0.18,0.099,0.116,"","",""
"MTSRCAMD","B30","fivedasc_insight_total",0.096,0.099,0.153,"","",""
"MTSRCAMD","B30","fivedasc_dis_total",0.133,0.227,0.197,"","",""
"MTSRCAMD","B30","fivedasc_imp_total",0.911,0.8,0.947,"","",""
"MTSRCAMD","B30","fivedasc_anx_total",0.863,0.904,0.841,"","",""
"MTSRCAMD","B30","fivedasc_cimg_total",0.764,0.863,0.945,"","",""
"MTSRCAMD","B30","fivedasc_eimg_total",0.974,0.817,0.841,"","",""
"MTSRCAMD","B30","fivedasc_av_total",0.436,0.471,0.459,"","",""
"MTSRCAMD","B30","fivedasc_per_total",0.743,0.276,0.25,"","",""
"MTSRCAMD","B30","boundlessMean",0.159,0.184,0.25,"","",""
"MTSRCAMD","B30","anxiousEgoMean",0.356,0.471,0.545,"","",""
"MTSRCAMD","B30","visionaryMean",0.931,0.834,0.841,"","",""
"MTSRCAMD","B7","age",0.048,0.084,0.086,"*","",""
"MTSRCAMD","B7","LED",0.839,0.68,0.596,"","",""
"MTSRCAMD","B7","severity",0.051,0.089,0.25,"","",""
"MTSRCAMD","B7","fivedasc_util_total",0.269,0.227,0.25,"","",""
"MTSRCAMD","B7","fivedasc_sprit_total",0.15,0.193,0.25,"","",""
"MTSRCAMD","B7","fivedasc_bliss_total",0.162,0.075,0.086,"","",""
"MTSRCAMD","B7","fivedasc_insight_total",0.087,0.11,0.116,"","",""
"MTSRCAMD","B7","fivedasc_dis_total",0.431,0.543,0.545,"","",""
"MTSRCAMD","B7","fivedasc_imp_total",0.717,0.651,0.841,"","",""
"MTSRCAMD","B7","fivedasc_anx_total",0.947,0.921,0.737,"","",""
"MTSRCAMD","B7","fivedasc_cimg_total",0.422,0.359,0.303,"","",""
"MTSRCAMD","B7","fivedasc_eimg_total",0.955,0.619,0.737,"","",""
"MTSRCAMD","B7","fivedasc_av_total",0.567,0.8,0.947,"","",""
"MTSRCAMD","B7","fivedasc_per_total",0.795,0.331,0.311,"","",""
"MTSRCAMD","B7","boundlessMean",0.148,0.184,0.197,"","",""
"MTSRCAMD","B7","anxiousEgoMean",0.693,0.499,0.459,"","",""
"MTSRCAMD","B7","visionaryMean",0.901,0.667,0.737,"","",""
"MTSRCAMD","bsl","age",0.054,0.182,0.149,"","",""
"MTSRCAMD","bsl","LED",0.601,0.648,0.596,"","",""
"MTSRCAMD","bsl","severity",0.052,0.03,0.046,"","*","*"
"MTSRCAMD","bsl","fivedasc_util_total",0.296,0.155,0.192,"","",""
"MTSRCAMD","bsl","fivedasc_sprit_total",0.196,0.1,0.114,"","",""
"MTSRCAMD","bsl","fivedasc_bliss_total",0.216,0.075,0.063,"","",""
"MTSRCAMD","bsl","fivedasc_insight_total",0.158,0.13,0.149,"","",""
"MTSRCAMD","bsl","fivedasc_dis_total",0.133,0.14,0.114,"","",""
"MTSRCAMD","bsl","fivedasc_imp_total",0.506,0.556,0.45,"","",""
"MTSRCAMD","bsl","fivedasc_anx_total",0.816,0.64,0.731,"","",""
"MTSRCAMD","bsl","fivedasc_cimg_total",0.65,0.712,0.783,"","",""
"MTSRCAMD","bsl","fivedasc_eimg_total",0.685,0.863,0.837,"","",""
"MTSRCAMD","bsl","fivedasc_av_total",0.316,0.442,0.536,"","",""
"MTSRCAMD","bsl","fivedasc_per_total",0.693,0.23,0.149,"","",""
"MTSRCAMD","bsl","boundlessMean",0.201,0.14,0.149,"","",""
"MTSRCAMD","bsl","anxiousEgoMean",0.141,0.108,0.149,"","",""
"MTSRCAMD","bsl","visionaryMean",0.809,0.753,0.731,"","",""
"MTSRFAMD","A7","age",0.009,0.016,0.014,"**","*","*"
"MTSRFAMD","A7","LED",0.798,0.846,0.916,"","",""
"MTSRFAMD","A7","severity",0.056,0.028,0.063,"","*",""
"MTSRFAMD","A7","fivedasc_util_total",0.184,0.21,0.311,"","",""
"MTSRFAMD","A7","fivedasc_sprit_total",0.102,0.154,0.197,"","",""
"MTSRFAMD","A7","fivedasc_bliss_total",0.093,0.075,0.116,"","",""
"MTSRFAMD","A7","fivedasc_insight_total",0.136,0.121,0.153,"","",""
"MTSRFAMD","A7","fivedasc_dis_total",0.221,0.404,0.459,"","",""
"MTSRFAMD","A7","fivedasc_imp_total",0.803,0.604,0.737,"","",""
"MTSRFAMD","A7","fivedasc_anx_total",0.972,0.869,0.841,"","",""
"MTSRFAMD","A7","fivedasc_cimg_total",0.512,0.812,0.731,"","",""
"MTSRFAMD","A7","fivedasc_eimg_total",0.92,0.939,0.841,"","",""
"MTSRFAMD","A7","fivedasc_av_total",0.604,0.499,0.638,"","",""
"MTSRFAMD","A7","fivedasc_per_total",0.722,0.256,0.25,"","",""
"MTSRFAMD","A7","boundlessMean",0.114,0.177,0.25,"","",""
"MTSRFAMD","A7","anxiousEgoMean",0.451,0.528,0.737,"","",""
"MTSRFAMD","A7","visionaryMean",0.937,0.904,1,"","",""
"MTSRFAMD","B30","age",0.053,0.046,0.063,"","*",""
"MTSRFAMD","B30","LED",0.766,0.648,0.916,"","",""
"MTSRFAMD","B30","severity",0.002,0.003,0.005,"**","**","**"
"MTSRFAMD","B30","fivedasc_util_total",0.295,0.227,0.311,"","",""
"MTSRFAMD","B30","fivedasc_sprit_total",0.143,0.134,0.116,"","",""
"MTSRFAMD","B30","fivedasc_bliss_total",0.18,0.099,0.116,"","",""
"MTSRFAMD","B30","fivedasc_insight_total",0.096,0.099,0.153,"","",""
